asset,version,overlap,n,real_cagr,syn_cagr,cagr_gap_pp,corr,te_ann_pct,same_sign_years
TQQQ,기본,2010-02-12~2026-09-16,4173,41.94579414381203,44.321839082514636,2.376044938702604,0.998940672504387,2.9474811476811964,17/17 과대
TQQQ,보정,2010-02-12~2026-09-16,4173,41.94579414381203,41.93915609805698,-0.00663804575504745,0.9989360920799573,2.9532215573384915,7/17 과대
QLD,기본,2006-06-22~2026-09-10,5086,24.946712312456974,26.160046419732442,1.2133341072754655,0.9959869943450991,3.948495369267039,21/21 과대
QLD,보정,2006-06-22~2026-09-10,5086,24.946712312456974,25.18329495031537,0.23658263785839573,0.9959858076229292,3.949075512963092,10/21 과대
