date,krw,bey,y85,days
1993-01-29,796.2,0.029619908160095614,0.061950000000000005,
1993-02-01,797.1,0.029619908160095614,0.06175,3.0
1993-02-02,798.9,0.03023735371098844,0.0625,1.0
1993-02-03,799.3,0.0299286073493768,0.06245,1.0
1993-02-04,799.1,0.029619908160095614,0.06185,1.0
1993-02-05,799.1,0.029619908160095614,0.061,1.0
1993-02-08,800.5,0.02982570237878006,0.061500000000000006,3.0
1993-02-09,801.1,0.0299286073493768,0.061950000000000005,1.0
1993-02-10,800.8,0.03003151756134317,0.0623,1.0
1993-02-11,799.7,0.02982570237878006,0.061950000000000005,1.0
1993-02-12,795.6,0.0299286073493768,0.06175,1.0
1993-02-16,799.8,0.0299286073493768,0.0616,4.0
1993-02-17,800.2,0.029722802649153418,0.060899999999999996,1.0
1993-02-18,799.7,0.029517018911207206,0.0596,1.0
1993-02-19,799.9,0.0299286073493768,0.05955,1.0
1993-02-22,800.0,0.03013443301508052,0.058949999999999995,3.0
1993-02-23,799.4,0.03003151756134317,0.057249999999999995,1.0
1993-02-24,798.6,0.03023735371098844,0.058249999999999996,1.0
1993-02-25,798.4,0.03013443301508052,0.058550000000000005,1.0
1993-02-26,798.6,0.03013443301508052,0.058499999999999996,1.0
1993-03-01,798.0,0.03013443301508052,0.0576,3.0
1993-03-02,798.0,0.030340279649468387,0.05765000000000001,1.0
1993-03-03,797.5,0.03003151756134317,0.05695,1.0
1993-03-04,797.6,0.029722802649153418,0.05644999999999999,1.0
1993-03-05,796.5,0.030649088924343152,0.057300000000000004,1.0
1993-03-08,795.9,0.030649088924343152,0.05695,3.0
1993-03-09,795.9,0.030546147255744872,0.05755,1.0
1993-03-10,795.9,0.03044321083092047,0.058100000000000006,1.0
1993-03-11,795.2,0.03023735371098844,0.05805,1.0
1993-03-12,796.6,0.030340279649468387,0.05955,1.0
1993-03-15,796.8,0.030546147255744872,0.0602,3.0
1993-03-16,795.3,0.03044321083092047,0.0591,1.0
1993-03-17,795.4,0.03044321083092047,0.058699999999999995,1.0
1993-03-18,796.0,0.03013443301508052,0.05779999999999999,1.0
1993-03-19,795.8,0.03023735371098844,0.05800000000000001,1.0
1993-03-22,796.0,0.03003151756134317,0.05805,3.0
1993-03-23,796.0,0.02982570237878006,0.05755,1.0
1993-03-24,796.2,0.02982570237878006,0.05795,1.0
1993-03-25,796.2,0.029722802649153418,0.05825,1.0
1993-03-26,796.4,0.0299286073493768,0.05935000000000001,1.0
1993-03-29,796.4,0.03003151756134317,0.05904999999999999,3.0
1993-03-30,796.9,0.029722802649153418,0.05865,1.0
1993-03-31,797.1,0.029517018911207206,0.05875,1.0
1993-04-01,797.1,0.029619908160095614,0.059000000000000004,1.0
1993-04-02,798.3,0.029722802649153418,0.05995,1.0
1993-04-05,798.7,0.029619908160095614,0.0596,3.0
1993-04-06,798.7,0.029722802649153418,0.059050000000000005,1.0
1993-04-07,799.6,0.02982570237878006,0.058949999999999995,1.0
1993-04-08,799.3,0.029619908160095614,0.05795,1.0
1993-04-12,798.9,0.029517018911207206,0.05745,4.0
1993-04-13,799.0,0.029105514309336892,0.0574,1.0
1993-04-14,798.8,0.028796940860097566,0.057050000000000003,1.0
1993-04-15,792.9,0.029002651255289183,0.056850000000000005,1.0
1993-04-16,799.0,0.029002651255289183,0.056999999999999995,1.0
1993-04-19,798.8,0.028694093518153593,0.056799999999999996,3.0
1993-04-20,799.1,0.02848841454356859,0.056799999999999996,1.0
1993-04-21,798.9,0.02859125141277694,0.0567,1.0
1993-04-22,798.7,0.028796940860097566,0.056549999999999996,1.0
1993-04-23,799.1,0.029002651255289183,0.05689999999999999,1.0
1993-04-26,799.1,0.029517018911207206,0.057350000000000005,3.0
1993-04-27,799.2,0.029722802649153418,0.0582,1.0
1993-04-28,799.2,0.02982570237878006,0.05835,1.0
1993-04-29,799.0,0.029619908160095614,0.05785,1.0
1993-04-30,799.0,0.029722802649153418,0.0584,1.0
1993-05-03,799.1,0.029311256132335654,0.0575,3.0
1993-05-04,799.9,0.029311256132335654,0.057050000000000003,1.0
1993-05-05,799.9,0.029517018911207206,0.0572,1.0
1993-05-06,799.9,0.02920838260155204,0.057050000000000003,1.0
1993-05-07,800.4,0.029311256132335654,0.05745,1.0
1993-05-10,801.4,0.029311256132335654,0.0571,3.0
1993-05-11,802.6,0.029517018911207206,0.056999999999999995,1.0
1993-05-12,803.5,0.029619908160095614,0.05765000000000001,1.0
1993-05-13,802.5,0.0299286073493768,0.058249999999999996,1.0
1993-05-14,803.0,0.03023735371098844,0.058499999999999996,1.0
1993-05-17,804.9,0.030649088924343152,0.058949999999999995,3.0
1993-05-18,805.1,0.030752035837115103,0.05965,1.0
1993-05-19,804.3,0.030340279649468387,0.0592,1.0
1993-05-20,805.4,0.03023735371098844,0.059000000000000004,1.0
1993-05-21,805.8,0.030649088924343152,0.0597,1.0
1993-05-24,805.0,0.031060908044484258,0.05975,3.0
1993-05-25,804.4,0.03136982746384929,0.0599,1.0
1993-05-26,804.5,0.031163875937960554,0.059399999999999994,1.0
1993-05-27,804.5,0.03126684907761555,0.05935000000000001,1.0
1993-05-28,804.5,0.03126684907761555,0.059800000000000006,1.0
1993-06-01,805.4,0.031060908044484258,0.05890000000000001,4.0
1993-06-02,806.5,0.03136982746384929,0.05875,1.0
1993-06-03,806.1,0.030957945396784852,0.0583,1.0
1993-06-04,806.9,0.031781793482597444,0.0593,1.0
1993-06-07,807.0,0.03167879410603665,0.059050000000000005,3.0
1993-06-08,806.4,0.03198780798187431,0.05915,1.0
1993-06-09,806.1,0.031781793482597444,0.058949999999999995,1.0
1993-06-10,805.0,0.031781793482597444,0.058949999999999995,1.0
1993-06-11,804.5,0.031163875937960554,0.0579,1.0
1993-06-14,804.4,0.031163875937960554,0.05785,3.0
1993-06-15,804.7,0.031163875937960554,0.05775,1.0
1993-06-16,805.2,0.031060908044484258,0.05775,1.0
1993-06-17,805.1,0.030957945396784852,0.0575,1.0
1993-06-18,805.2,0.03126684907761555,0.05795,1.0
1993-06-21,805.4,0.03126684907761555,0.05745,3.0
1993-06-22,806.6,0.03157579997765878,0.05745,1.0
1993-06-23,807.4,0.03188479810774324,0.0575,1.0
1993-06-24,806.4,0.03167879410603665,0.05715,1.0
1993-06-25,805.8,0.03147281109706365,0.056749999999999995,1.0
1993-06-28,806.1,0.03136982746384929,0.05635,3.0
1993-06-29,807.0,0.030957945396784852,0.0562,1.0
1993-06-30,806.9,0.030957945396784852,0.056299999999999996,1.0
1993-07-01,806.4,0.030546147255744872,0.056299999999999996,1.0
1993-07-02,806.3,0.03013443301508052,0.0559,1.0
1993-07-06,807.6,0.030752035837115103,0.05635,4.0
1993-07-07,807.6,0.031060908044484258,0.05635,1.0
1993-07-08,807.3,0.030854987994462377,0.056150000000000005,1.0
1993-07-09,807.6,0.030854987994462377,0.0559,1.0
1993-07-12,808.3,0.030752035837115103,0.0558,3.0
1993-07-13,809.4,0.031060908044484258,0.05605,1.0
1993-07-14,809.1,0.030752035837115103,0.05545,1.0
1993-07-15,809.4,0.030752035837115103,0.05545,1.0
1993-07-16,810.7,0.030752035837115103,0.05535,1.0
1993-07-19,811.0,0.030957945396784852,0.0554,3.0
1993-07-20,812.0,0.03126684907761555,0.05585,1.0
1993-07-21,811.2,0.03136982746384929,0.056799999999999996,1.0
1993-07-22,811.0,0.03157579997765878,0.0575,1.0
1993-07-23,811.7,0.03157579997765878,0.05805,1.0
1993-07-26,811.9,0.03147281109706365,0.05775,3.0
1993-07-27,812.2,0.03167879410603665,0.057699999999999994,1.0
1993-07-28,810.8,0.03147281109706365,0.0574,1.0
1993-07-29,809.9,0.030854987994462377,0.0564,1.0
1993-07-30,809.8,0.030957945396784852,0.05665,1.0
1993-08-02,809.8,0.03136982746384929,0.056999999999999995,3.0
1993-08-03,809.9,0.03147281109706365,0.0567,1.0
1993-08-04,809.5,0.03147281109706365,0.057050000000000003,1.0
1993-08-05,809.2,0.031163875937960554,0.05689999999999999,1.0
1993-08-06,809.7,0.031060908044484258,0.05689999999999999,1.0
1993-08-09,811.4,0.030854987994462377,0.0565,3.0
1993-08-10,812.3,0.030957945396784852,0.05655,1.0
1993-08-11,811.1,0.030854987994462377,0.05605,1.0
1993-08-12,812.3,0.030752035837115103,0.05619999999999999,1.0
1993-08-13,813.1,0.030854987994462377,0.05565,1.0
1993-08-16,812.4,0.030854987994462377,0.0552,3.0
1993-08-17,813.6,0.030752035837115103,0.05545,1.0
1993-08-18,813.6,0.030546147255744872,0.0553,1.0
1993-08-19,813.1,0.03044321083092047,0.0548,1.0
1993-08-20,813.8,0.030546147255744872,0.054450000000000005,1.0
1993-08-23,814.1,0.030546147255744872,0.0544,3.0
1993-08-24,813.9,0.030546147255744872,0.05375,1.0
1993-08-25,812.9,0.03044321083092047,0.053399999999999996,1.0
1993-08-26,812.2,0.030649088924343152,0.0526,1.0
1993-08-27,811.5,0.030854987994462377,0.05305,1.0
1993-08-30,811.7,0.030854987994462377,0.0527,3.0
1993-08-31,811.6,0.030752035837115103,0.0528,1.0
