date,SPY,QQQ,SCHD,IEF,GLD,SGOV,TQQQ,TQQQ_cal,QLD,QLD_cal
1993-01-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993-02-01,0.00019901363897201207,0.0,0.00019901363897201207,0.0005091780821917807,0.0,0.0002434512999459,0.0,0.0,0.0,0.0
1993-02-02,0.0002939816726506006,0.0,0.0002939816726506006,0.00016917808219178083,0.0,8.115043331533046e-05,0.0,0.0,0.0,0.0
1993-02-03,2.1634812687354454e-05,0.0,2.1634812687354454e-05,0.00017123287671232877,0.0,8.284206496161217e-05,0.0,0.0,0.0,0.0
1993-02-04,0.0006389360232554875,0.0,0.0006389360232554875,0.0001710958904109589,0.0,8.199618451884055e-05,0.0,0.0,0.0,0.0
1993-02-05,9.022676275804997e-05,0.0,9.022676275804997e-05,0.00016945205479452057,0.0,8.115043331533046e-05,0.0,0.0,0.0,0.0
1993-02-08,0.00041766070066784344,0.0,0.00041766070066784344,0.0005013698630136986,0.0,0.0002434512999459,0.0,0.0,0.0,0.0
1993-02-09,0.00023351785986569507,0.0,0.00023351785986569507,0.0001684931506849315,0.0,8.171425309254811e-05,0.0,0.0,0.0,0.0
1993-02-10,5.7299316957415414e-05,0.0,5.7299316957415414e-05,0.00016972602739726028,0.0,8.199618451884055e-05,0.0,0.0,0.0,0.0
1993-02-11,1.9657648498094815e-05,0.0,1.9657648498094815e-05,0.00017068493150684932,0.0,8.227813030504978e-05,0.0,0.0,0.0,0.0
1993-02-12,0.00020822832185274365,0.0,0.00020822832185274365,0.00016972602739726028,0.0,8.171425309254811e-05,0.0,0.0,0.0,0.0
1993-02-16,0.00015991639996559837,0.0,0.00015991639996559837,0.0006767123287671233,0.0,0.0003279847380753,0.0,0.0,0.0,0.0
1993-02-17,4.903483482743276e-05,0.0,4.903483482743276e-05,0.00016876712328767123,0.0,8.199618451884055e-05,0.0,0.0,0.0,0.0
1993-02-18,6.741552128242123e-05,0.0,6.741552128242123e-05,0.00016684931506849286,0.0,8.143233602507786e-05,0.0,0.0,0.0,0.0
1993-02-19,4.118506310235581e-05,0.0,4.118506310235581e-05,0.0001632876712328767,0.0,8.086854496221152e-05,0.0,0.0,0.0,0.0
