date,TQQQ_syn,IEF_syn,GLD_syn,SGOV_syn,NDX_TR
1993-01-29,,,,,
1993-02-01,,0.0017956899938536052,-0.002151200210588678,0.00024345129994599133,
1993-02-02,,-0.004724272548465481,-0.0003142189495986734,8.115043331533046e-05,
1993-02-03,,0.0004903681301311989,-0.004409563484725395,8.284206496161217e-05,
1993-02-04,,0.004084019936196651,-0.0006203434257426497,8.199618451884055e-05,
1993-02-05,,0.005734585569927927,-0.0007731540260607814,8.115043331533046e-05,
1993-02-08,,-0.0027877103379204673,0.0005773444928580668,0.00024345129994599133,
1993-02-09,,-0.0027766895551884574,0.00029396562706899627,8.171425309254811e-05,
1993-02-10,,-0.0021192781623890966,0.0054760095458218725,8.199618451884055e-05,
1993-02-11,,0.0024495226808979253,0.00650715539026662,8.227813030504978e-05,
1993-02-12,,0.001470124413704238,-0.008444693843868664,8.171425309254811e-05,
1993-02-16,,0.0016304443356635143,0.0007155811514837713,0.0003279847380753622,
1993-02-17,,0.004752506625450676,0.0034797073578422357,8.199618451884055e-05,
1993-02-18,,0.008729959705861202,-0.0019770811061665303,8.143233602507786e-05,
1993-02-19,,0.0004864753750266259,0.002565188997087612,8.086854496221152e-05,
1993-02-22,,0.004433781566819525,-0.00335814878004348,0.00024598855355652163,
1993-02-23,,0.011468414534120253,-0.0003142649398995743,8.25600904522754e-05,
1993-02-24,,-0.006477511616557311,0.0008992352706475395,8.227813030504978e-05,
1993-02-25,,-0.001832799639576993,-0.0009203253787987884,8.284206496161217e-05,
1993-02-26,,0.0004850794442303907,-0.006078920069158186,8.25600904522754e-05,
1993-03-01,,0.006439716718143918,0.0027143760349239705,0.0002476802713568262,
1993-03-02,,-0.00018072638798298908,0.001967732115677171,8.25600904522754e-05,
1993-03-03,,0.004815706241615087,0.0012042925010248653,8.312405383415996e-05,
1993-03-04,,0.003487996387328448,-0.004562620260504654,8.227813030504978e-05,
1993-03-05,,-0.005507106893760866,0.005171177965270038,8.143233602507786e-05,
1993-03-08,,0.0027830158299078584,-0.006856227735831389,0.0002519103199261081,
1993-03-09,,-0.003838351023871357,-0.0016903482170867643,8.397010664203603e-05,
1993-03-10,,-0.0034962945212138863,-0.0026107448040941414,8.368807467327362e-05,
1993-03-11,,0.0004844834146375631,0.0024422762998154526,8.340605707101498e-05,
1993-03-12,,-0.009737420688031309,0.0002949450420514456,8.284206496161217e-05,
1993-03-15,,-0.0038023458252192856,0.003025227263206309,0.0002493721615024799,
1993-03-16,,0.007424307869058591,0.0030378215836951807,8.368807467327362e-05,
1993-03-17,,0.0028018881011228104,-0.0007708373235624975,8.340605707101498e-05,
1993-03-18,,0.006130519258818364,0.004551778738476045,8.340605707101498e-05,
1993-03-19,,-0.0011749376907932885,0.004228253813528463,8.25600904522754e-05,
1993-03-22,,0.00012620398020296442,0.0028315888387040462,0.00024852619488483646,
1993-03-23,,0.003476096875761979,-0.0021155890905198613,8.227813030504978e-05,
1993-03-24,,-0.0025030909852257564,-0.002722619042705506,8.171425309254811e-05,
1993-03-25,,-0.0018360051047450299,0.0048228779538965014,8.171425309254811e-05,
1993-03-26,,-0.0071053748927347475,0.0002897025510916564,8.143233602507786e-05,
1993-03-29,,0.0024495421591066045,-0.0030385875629449503,0.00024598855355652163,
1993-03-30,,0.0028022889610433564,0.008128926534539819,8.227813030504978e-05,
1993-03-31,,-0.0005071929548590249,0.010156505210723013,8.143233602507786e-05,
1993-04-01,,-0.0014974649438989928,-0.004303439661954419,8.086854496221152e-05,
1993-04-02,,-0.006098441198205765,0.011138141735105448,8.115043331533046e-05,
1993-04-05,,0.0027793934925491523,-0.0025321416344106233,0.00024429700807523355,
1993-04-06,,0.003790490686415521,-0.002516485801677811,8.115043331533046e-05,
1993-04-07,,0.000816278141222878,-0.004886845428932215,8.143233602507786e-05,
