date,SPY,QQQ,IEF,GLD,SGOV,SCHD,TQQQ,TQQQ_cal,QLD,QLD_cal,SPY_wh,QQQ_wh,IEF_wh,GLD_wh,SGOV_wh,SCHD_wh,TQQQ_wh,TQQQ_cal_wh,QLD_wh,QLD_cal_wh
1993-01-29,,,,,,,,,,,,,,,,,,,,
1993-02-01,0.0071123975867979,,0.0017956899938536,-0.0021512002105886,0.0002434512999459,0.0071123975867979,,,,,0.007082545540952098,,0.0017193132815248328,-0.0021512002105886,0.00020693360495401502,0.007082545540952098,,,,
1993-02-02,0.0021186427365937,,-0.0047242725484654,-0.0003142189495986,8.115043331533046e-05,0.0021186427365937,,,,,0.00207454548569611,,-0.0047496492607941665,-0.0003142189495986,6.897786831803088e-05,0.00207454548569611,,,,
1993-02-03,0.010571209771033,,0.0004903681301311,-0.0044095634847253,8.284206496161217e-05,0.010571209771033,,,,,0.010567964549129897,,0.00046468319862425075,-0.0044095634847253,7.041575521737034e-05,0.010567964549129897,,,,
1993-02-04,0.0041841737550065,,0.0040840199361966,-0.0006203434257426,8.199618451884055e-05,0.0041841737550065,,,,,0.004088333351518177,,0.004058355552634956,-0.0006203434257426,6.969675684101447e-05,0.004088333351518177,,,,
1993-02-05,-0.0006949328290809,,0.0057345855699279,-0.0007731540260607,8.115043331533046e-05,-0.0006949328290809,,,,,-0.0007084668434946074,,0.005709167761708722,-0.0007731540260607,6.897786831803088e-05,-0.0007084668434946074,,,,
1993-02-08,0.0,,-0.0027877103379203,0.000577344492858,0.0002434512999459,0.0,,,,,-6.264910510017652e-05,,-0.002862915817372355,0.000577344492858,0.00020693360495401502,-6.264910510017652e-05,,,,
1993-02-09,-0.0069495238277781,,-0.0027766895551881,0.0002939656270689,8.171425309254811e-05,-0.0069495238277781,,,,,-0.0069845515067579545,,-0.00280196352779084,0.0002939656270689,6.945711512866589e-05,-0.0069845515067579545,,,,
1993-02-10,0.0013994758853077,,-0.002119278162389,0.0054760095458218,8.199618451884055e-05,0.0013994758853077,,,,,0.0013908809877640877,,-0.002144737066498589,0.0054760095458218,6.969675684101447e-05,0.0013908809877640877,,,,
1993-02-11,0.0048920974909765,,0.0024495226808979,0.0065071553902666,8.227813030504978e-05,0.0048920974909765,,,,,0.004889148843701786,,0.0024239199411718727,0.0065071553902666,6.993641075929232e-05,0.004889148843701786,,,,
1993-02-12,-0.0076490958060793,,0.0014701244137042,-0.0084446938438686,8.171425309254811e-05,-0.0076490958060793,,,,,-0.007680330054357212,,0.001444665509594611,-0.0084446938438686,6.945711512866589e-05,-0.007680330054357212,,,,
1993-02-16,-0.0252281912680746,,0.0016304443356635,0.0007155811514837,0.0003279847380753,-0.0252281912680746,,,,,-0.02525217872806944,,0.0015289374863484315,0.0007155811514837,0.000278787027364005,-0.02525217872806944,,,,
1993-02-17,-0.0007187735660187,,0.0047525066254506,0.0034797073578422,8.199618451884055e-05,-0.0007187735660187,,,,,-0.0007261287912428149,,0.004727191556957449,0.0034797073578422,6.969675684101447e-05,-0.0007261287912428149,,,,
1993-02-18,-0.000719210562994,,0.0087299597058612,-0.0019770811061665,8.143233602507786e-05,-0.000719210562994,,,,,-0.0007293228911863632,,0.008704932308600926,-0.0019770811061665,6.921748562131617e-05,-0.0007293228911863632,,,,
1993-02-19,0.0035994416721907,,0.0004864753750266,0.0025651889970876,8.086854496221152e-05,0.0035994416721907,,,,,0.0035932639127253464,,0.0004619822243416685,0.0025651889970876,6.873826321787979e-05,0.0035932639127253464,,,,
1993-02-22,0.0035870906223454,,0.0044337815668195,-0.0033581487800434,0.0002459885535565,0.0035870906223454,,,,,0.0035530869342502475,,0.004360363758600321,-0.0033581487800434,0.000209090270523025,0.0035530869342502475,,,,
1993-02-23,-0.0007155375387321,,0.0114684145341202,-0.0003142649398995,8.25600904522754e-05,-0.0007155375387321,,,,,-0.0007512745489000577,,0.011444188506722939,-0.0003142649398995,7.01760768844341e-05,-0.0007512745489000577,,,,
1993-02-24,0.0128759311691564,,-0.0064775116165573,0.0008992352706475,8.227813030504978e-05,0.0128759311691564,,,,,0.012864835695625645,,-0.006501039013817574,0.0008992352706475,6.993641075929232e-05,0.012864835695625645,,,,
1993-02-25,0.0021186427365937,,-0.0018327996395769,-0.0009203253787987,8.284206496161217e-05,0.0021186427365937,,,,,0.002115508859812353,,-0.0018567379957412837,-0.0009203253787987,7.041575521737034e-05,0.002115508859812353,,,,
1993-02-26,0.0014094946361378,,0.0004850794442303,-0.0060789200691581,8.25600904522754e-05,0.0014094946361378,,,,,0.0014002147628793058,,0.00046101780039468356,-0.0060789200691581,7.01760768844341e-05,0.0014002147628793058,,,,
1993-03-01,-0.0028143171330545,,0.0064397167181439,0.0027143760349239,0.0002476802713568,-0.0028143171330545,,,,,-0.0028456412360095768,,0.0063675934304726674,0.0027143760349239,0.00021052823065328,-0.0028456412360095768,,,,
1993-03-02,0.0148193954607758,,-0.0001807263879829,0.0019677321156771,8.25600904522754e-05,0.0148193954607758,,,,,0.01478235869660192,,-0.00020439762085961233,0.0019677321156771,7.01760768844341e-05,0.01478235869660192,,,,
1993-03-03,0.0041730004389008,,0.004815706241615,0.0012042925010248,8.312405383415996e-05,0.0041730004389008,,,,,0.00413897914063486,,0.004792014460793082,0.0012042925010248,7.065544575903597e-05,0.00413897914063486,,,,
1993-03-04,-0.0055409041694605,,0.0034879963873284,-0.0045626202605046,8.227813030504978e-05,-0.0055409041694605,,,,,-0.005556659109990938,,0.0034645922777393587,-0.0045626202605046,6.993641075929232e-05,-0.005556659109990938,,,,
1993-03-05,-0.0027849203367494,,-0.0055071068937608,0.00517117796527,8.143233602507786e-05,-0.0027849203367494,,,,,-0.0028172442007745576,,-0.005530305523897786,0.00517117796527,6.921748562131617e-05,-0.0028172442007745576,,,,
1993-03-08,0.0223458537070289,,0.0027830158299081,-0.0068562277358313,0.0002519103199261,0.0223458537070289,,,,,0.022329944241047776,,0.0027123719942916615,-0.0068562277358313,0.000214123771937185,0.022329944241047776,,,,
