최종자산_세전,최종자산_세후,최종자산_원화,CAGR_세전,CAGR_세후,CAGR_원화,MDD,MDD고점,MDD저점,최장회복_거래일,회복완료,연변동성,Sharpe,Sortino,Calmar,최악의연도,최악연도,최악롤링3년,최악롤링5년,총매매횟수,연평균매매,총세금,연평균세금,세금비중,Sharpe_세후,최악롤링10년,최악롤링3년_세후,key,포트폴리오,구간,구간명,원천징수,합성
46319.83651570849,40007.39644786979,53520718.300440535,0.07988193868349347,0.07198477286550764,0.08118399143861854,-0.6159770353132836,2000-03-24,2002-10-09,2694,True,0.204960744194963,0.3960044900594643,0.555438907832696,0.12968330652597432,-0.3459019016231717,2008,-0.25509250114976234,-0.08947022086158385,19,0.9518886679920477,6155.633494161941,308.39356670552866,0.13289411097283071,0.3589471882276721,-0.010180353136204134,-0.25509250114976234,P3,P3 코어70(SPY60/SCHD20/IEF10/GLD10):위성30(TQQQ60/SGOV40),A,A 2000–2019,미적용,기본
33015.529870306695,29358.40221296937,44250714.68517206,0.19588076678206856,0.17505492980753967,0.22234016847732962,-0.3292847106969723,2020-02-19,2020-03-23,367,True,0.2233816007082873,0.782108324700743,1.0919867890818014,0.5948674822085193,-0.22744243158669053,2022,0.09132334142094112,0.15612962894316817,6,0.8978622327790974,3626.1225466749397,542.6264143480313,0.10983081479895253,0.694789870765115,,0.09132334142094112,P3,P3 코어70(SPY60/SCHD20/IEF10/GLD10):위성30(TQQQ60/SGOV40),B,B 2020–2026,미적용,기본
156426.17915918448,124998.31565400903,209658007.92705494,0.1087566614591644,0.0994635207891692,0.11595534781566763,-0.6159770353132836,2000-03-24,2002-10-09,2694,True,0.2107970138078915,0.5011749333967843,0.7020987821848662,0.1765596040505815,-0.3459019016231717,2008,-0.25509250114976234,-0.08947022086158385,26,0.9757259865971706,25987.45725266823,975.2552833465963,0.16613240438624108,0.4591051159990476,-0.010180353136204134,-0.25509250114976234,P3,P3 코어70(SPY60/SCHD20/IEF10/GLD10):위성30(TQQQ60/SGOV40),C,C 2000–2026,미적용,기본
13657.370782627655,13239.476363801223,14521062.910921028,0.024405299791469215,0.021953414232871005,0.01974542721943351,-0.6159770353132836,2000-03-24,2002-10-09,2694,True,0.22587134849279092,0.12456199706328575,0.17475978567640366,0.039620470232395545,-0.3459019016231717,2008,-0.25509250114976234,-0.08947022086158385,12,0.9253365973072215,417.89441882643206,32.22441662921079,0.03059845306081892,0.11392211013179289,-0.010180353136204134,-0.25509250114976234,P3,P3 코어70(SPY60/SCHD20/IEF10/GLD10):위성30(TQQQ60/SGOV40),S1,2000–2012,미적용,기본
56525.53658833643,48113.46342743538,67185687.53353079,0.21256432965695926,0.19102968048406876,0.22767856236677897,-0.3373227985641807,2020-02-19,2020-03-23,244,True,0.19124275395398033,1.0700543405430196,1.4761795852643433,0.6301510913633539,-0.05559117520169865,2018,0.06494466675236654,0.075154181119367,8,0.8896734333627537,8209.63703769967,912.9869962490365,0.14523766660525003,0.9526762980898071,,0.06367680425642086,P3,P3 코어70(SPY60/SCHD20/IEF10/GLD10):위성30(TQQQ60/SGOV40),S2,2013–2021,미적용,기본
19335.710057890632,17901.055547168882,25915652.190590814,0.15159434672429795,0.13277374955227783,0.1809511557053285,-0.28101812549858796,2022-01-03,2022-10-14,362,True,0.1996995410632436,0.6017760223778695,0.8580259722976423,0.5394468647007599,-0.2338606702937983,2022,0.0936718813141606,,4,0.8549618320610687,1434.6545107217507,306.643712215336,0.07419714644181316,0.5141039525156911,,0.0936718813141606,P3,P3 코어70(SPY60/SCHD20/IEF10/GLD10):위성30(TQQQ60/SGOV40),S3,2022–2026,미적용,기본
43600.492929008025,37922.827634507994,50378625.559751615,0.07661365728716385,0.06911476505620628,0.07791176935706767,-0.5407016787404665,2000-03-24,2002-10-09,1832,True,0.18225488158439446,0.40457143337172313,0.5683409437895144,0.1416930264866774,-0.3180226851045004,2008,-0.209362431002999,-0.06202666298069648,19,0.9518886679920477,5631.156939388389,282.11760412045214,0.12915351550169976,0.3642786036201187,0.0015029853433026208,-0.209362431002999,A80,"A80 P3 구성, 코어80:위성20",A,A 2000–2019,미적용,기본
29595.878343152668,26473.570439261704,39667355.74332752,0.1764724047840016,0.15700753907386522,0.2025023877105876,-0.30841555456410386,2020-02-19,2020-03-23,368,True,0.19814064720135155,0.7720547211743324,1.0801109963493905,0.572190352180574,-0.1948947935884362,2022,0.08074671715207216,0.14262199398033637,6,0.8978622327790974,3122.3079038909614,467.233724335227,0.1054980652268204,0.6770145648330721,,0.08074671715207216,A80,"A80 P3 구성, 코어80:위성20",B,B 2020–2026,미적용,기본
131634.43712396175,107874.53617462976,176429636.07724592,0.10159993777385723,0.09340131551057707,0.10875215856136644,-0.5407016787404665,2000-03-24,2002-10-09,1832,True,0.18759282480864337,0.5039334921708818,0.7071189348953809,0.18790386967269723,-0.3180226851045004,2008,-0.209362431002999,-0.06202666298069648,26,0.9757259865971706,21612.012072009777,811.0539154350654,0.16418205254038107,0.46087939896683616,0.0015029853433026208,-0.209362431002999,A80,"A80 P3 구성, 코어80:위성20",C,C 2000–2026,미적용,기본
14791.489198642128,14286.567221358539,15726902.975564256,0.030726222828360683,0.02796937418091816,0.02603759728531263,-0.5407016787404665,2000-03-24,2002-10-09,1832,True,0.20189812135126806,0.14443894554931058,0.2029839311884068,0.05682657190918226,-0.3180226851045004,2008,-0.209362431002999,-0.06202666298069648,12,0.9253365973072215,504.92197728358707,38.93523203043572,0.034135979853194186,0.13117030536071075,0.0015029853433026208,-0.209362431002999,A80,"A80 P3 구성, 코어80:위성20",S1,2000–2012,미적용,기본
