SCHD,SPY,QQQ,key,grid,구간,구간명,최종자산_세전,최종자산_세후,최종자산_원화,CAGR_세전,CAGR_세후,CAGR_원화,MDD,MDD고점,MDD저점,최장회복_거래일,회복완료,연변동성,Sharpe,Sortino,Calmar,최악의연도,최악연도,최악롤링3년,최악롤링5년,총매매횟수,연평균매매,총세금,연평균세금,세금비중,Sharpe_세후,최악롤링10년,최악롤링3년_세후,roll10_min,roll10_p10,roll10_med,roll10_n,boot_cagr_med,boot_cagr_p10,boot_mdd_med,boot_mdd_p10,stable_main,stable_alt,relax_main,relax_alt
0.0,0.0,1.0,S000_P000_Q100,10%p,A,A 2000–2019,25074.46305025734,22234.08207927515,28972539.076050345,0.04718403902829671,0.040895670657892014,0.04844666674184306,-0.8296413105860335,2000-03-27,2002-10-09,3791.0,True,0.2733948748550535,0.24385723805754392,0.34769325584911986,0.056872817718017596,-0.4175868971614042,2008.0,-0.40158694605125456,-0.2085613128393643,0.0,0.0,2840.3809709821858,142.30139258201012,0.11327783830461866,0.22214041695057787,-0.08222703573241208,-0.40158694605125456,,,,,,,,,False,False,False,False
0.0,0.0,1.0,S000_P000_Q100,10%p,B,B 2020–2026,33606.370477040095,28823.324862563553,45042618.35037684,0.1990592325716043,0.1718250135949262,0.22558895925697797,-0.3517822059268173,2021-11-19,2022-11-03,517.0,True,0.24866457991292387,0.7369792944488529,1.0492239257789069,0.5658592993558503,-0.3265122167874993,2022.0,0.05370992118893847,0.125419748071119,0.0,0.0,4783.0456144765385,715.7526691496957,0.14232556347447042,0.6356719892773206,,0.05370992118893847,,,,,,,,,False,False,False,False
0.0,0.0,1.0,S000_P000_Q100,10%p,C,C 2000–2026,85844.71693544846,69569.23510012208,115057674.10858157,0.08406823906227112,0.07554963825425176,0.09110663397192242,-0.8296413105860335,2000-03-27,2002-10-09,3791.0,True,0.26741087481925824,0.3610668684202451,0.5146823091092778,0.10133082573104739,-0.4175868971614042,2008.0,-0.40158694605125456,-0.2085613128393643,0.0,0.0,16275.48183532638,610.785021966083,0.18959211954260205,0.33133757129169245,-0.08222703573241208,-0.40158694605125456,,,,,,,,,False,False,False,False
0.0,0.0,1.0,S000_P000_Q100,10%p,S1,2000–2012,7215.339235101486,7215.339235101486,7671637.288329304,-0.02477807935259757,-0.02477807935259757,-0.029214223797182193,-0.8296413105860335,2000-03-27,2002-10-09,3210.0,False,0.31789671847402984,0.01188284536292602,0.016967089460146148,-0.029866014428687363,-0.4175868971614042,2008.0,-0.40158694605125456,-0.2085613128393643,0.0,0.0,0.0,0.0,0.0,0.01188284536292602,-0.08222703573241208,-0.40158694605125456,,,,,,,,,False,False,False,False
0.0,0.0,1.0,S000_P000_Q100,10%p,S2,2013–2021,63463.14424513329,52163.985665613814,75431658.61832297,0.2282762097267137,0.20178419323160024,0.24358628607622723,-0.2855937282640194,2020-02-19,2020-03-16,163.0,True,0.19457509746759089,1.1210722160212532,1.5770081805398717,0.7993040012268124,-0.0025423737458447615,2018.0,0.09565080271988147,0.10320316259943296,0.0,0.0,11299.158579519477,1256.5701509439136,0.17804284224990885,0.9725099860972586,,0.09565080271988147,,,,,,,,,False,False,False,False
0.0,0.0,1.0,S000_P000_Q100,10%p,S3,2022–2026,17924.573663236395,16591.52334779667,24024306.08083574,0.1330916781620286,0.11452899254384952,0.16197681123724483,-0.34875986440791773,2022-01-03,2022-11-03,487.0,True,0.23254886821702545,0.47730815289396766,0.6845727026109741,0.3816140896486915,-0.3329339518650689,2022.0,0.053709921188939136,,0.0,0.0,1333.0503154397247,284.92678497948316,0.0743699872858808,0.4044336852837703,,0.053709921188939136,,,,,,,,,False,False,False,False
0.0,0.0,1.0,S000_P000_Q100,10%p,OOS2,2013–2026,115080.0109615744,92372.76444050031,154241738.69179815,0.195696132249213,0.17663102677001397,0.21611205576758707,-0.35178220592681764,2021-11-19,2022-11-03,517.0,True,0.20830987918204696,0.8746432259849798,1.2404917837369165,0.5562991218774843,-0.32651221678749964,2022.0,0.05370992118893758,0.10320316259943296,0.0,0.0,22707.24652107409,1660.541533171988,0.1973170347425159,0.7798825768580381,0.15451236606275853,0.05370992118893758,,,,,,,,,False,False,False,False
0.0,0.0,1.0,S000_P000_Q100,10%p,ROLL10,"롤링10년(세후, 월별시작)",,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.08211905079566462,0.037404992567015016,0.1308818916501695,201.0,,,,,False,False,False,False
0.0,0.0,1.0,S000_P000_Q100,10%p,BOOT_A,"부트스트랩 A (블록252, 1000회)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.052120266168469986,-0.035491673462389524,-0.6997143721129941,-0.8804154760911251,False,False,False,False
0.0,0.0,1.0,S000_P000_Q100,10%p,BOOT_C,"부트스트랩 C (블록252, 1000회)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09023741222987403,0.013757204956172832,-0.6808095361769224,-0.8551645256542498,False,False,False,False
0.0,0.1,0.9,S000_P010_Q090,10%p,A,A 2000–2019,26054.515717366638,22957.870776048643,30104950.730788454,0.049197476925602945,0.042567554602253255,0.05046253231412701,-0.8062165839405353,2000-03-27,2002-10-09,3676.0,True,0.26102709688253983,0.2501763374073706,0.3564800370382619,0.06102265558113555,-0.412932642385457,2008.0,-0.378274126240394,-0.190737387931471,19.0,0.9518886679920477,3096.6449413179926,155.14006465449984,0.11885252348996546,0.22618757911309093,-0.07373065443567406,-0.378274126240394,,,,,,,,,False,False,False,False
0.0,0.1,0.9,S000_P010_Q090,10%p,B,B 2020–2026,32814.22816105913,28268.195862888228,43980910.00426755,0.194786799910885,0.16841971331604855,0.22122199709538704,-0.34033295707316547,2021-12-27,2022-10-14,492.0,True,0.2427154534372539,0.7343058241760743,1.0447053628052794,0.5723418665827574,-0.31219000566499566,2022.0,0.05392106500905225,0.12508615726221906,6.0,0.8978622327790974,4546.032298170903,680.2851182536031,0.13853844971937238,0.6333262844479949,,0.05392106500905225,,,,,,,,,False,False,False,False
0.0,0.1,0.9,S000_P010_Q090,10%p,C,C 2000–2026,87036.52684174258,70836.79210374193,116655056.92598759,0.08462931222470904,0.07627868550039274,0.0916713499442392,-0.8062165839405353,2000-03-27,2002-10-09,3676.0,True,0.2565608246516012,0.3673243837646049,0.5232619061798623,0.10497093946029658,-0.412932642385457,2008.0,-0.378274126240394,-0.190737387931471,26.0,0.9757259865971706,16199.734738000654,607.9423907633902,0.1861257029184589,0.3367751623248213,-0.07373065443567406,-0.378274126240394,,,,,,,,,False,False,False,False
0.0,0.1,0.9,S000_P010_Q090,10%p,S1,2000–2012,7728.768649540854,7728.768649540854,8217535.978937818,-0.01959503180986455,-0.01959503180986455,-0.024054753193272993,-0.8062165839405353,2000-03-27,2002-10-09,3210.0,False,0.3026328098895497,0.014442802574510962,0.020609171168878573,-0.024304922771608273,-0.412932642385457,2008.0,-0.378274126240394,-0.190737387931471,12.0,0.9253365973072215,0.0,0.0,0.0,0.014442802574510962,-0.07373065443567406,-0.378274126240394,,,,,,,,,False,False,False,False
0.0,0.1,0.9,S000_P010_Q090,10%p,S2,2013–2021,60386.19046282988,49851.04978342539,71774422.12221496,0.22150628670340344,0.1957380809800917,0.23673197809329127,-0.28613682789942685,2020-02-19,2020-03-16,162.0,True,0.1904974900601402,1.1119008526540108,1.5625322710838472,0.7741271486425363,-0.0071104152772882845,2018.0,0.08810138732741879,0.09590288840629224,8.0,0.8896734333627537,10535.140679404483,1171.6043474006751,0.17446274717212512,0.9636488949149589,,0.08810138732741879,,,,,,,,,False,False,False,False
0.0,0.1,0.9,S000_P010_Q090,10%p,S3,2022–2026,17848.105379038825,16526.782530346176,23921815.639525738,0.1320567411705984,0.1135980191424546,0.16091549130320004,-0.33773401923664403,2022-01-03,2022-10-14,487.0,True,0.22580039828753062,0.48068627425931393,0.689706725586971,0.3910081118540465,-0.3184867413597856,2022.0,0.05392106500905203,,4.0,0.8549618320610687,1321.322848692649,282.42015086560434,0.07403154680184919,0.4058224940477925,,0.05392106500905203,,,,,,,,,False,False,False,False
0.0,0.1,0.9,S000_P010_Q090,10%p,OOS2,2013–2026,108991.47147806345,88162.7005927434,146081269.22204843,0.19095254766796188,0.17262402150999767,0.21128747681209492,-0.34033295707316524,2021-12-27,2022-10-14,492.0,True,0.2032291072670103,0.8717863904406489,1.2358197893163567,0.5610756869100709,-0.3121900056649948,2022.0,0.05392106500905314,0.09590288840629224,13.0,0.9506674405107371,20828.770885320046,1523.1718697332128,0.1911045938077111,0.7778885088007313,0.15102382669766712,0.05392106500905314,,,,,,,,,False,False,False,False
