start,P3,A80,A-Q1,A-Q2,C,B-opt,B1,B2,B3,SPY,QQQ,C100
2000-01-03,-0.774619795098408,0.18804166258203914,-0.6454777499104836,-2.5178532507547313,-4.243325711747737,-2.5437726492860135,-3.595405091981907,-4.169307059417671,-3.0539672107347426,-1.1908483154929095,-6.821674113774279,1.6682543566685304
2000-02-01,-1.038167255754474,0.004266260694074653,-0.8225386836796966,-2.7577730298810943,-4.5833392564989754,-2.694310344407014,-3.8073795719338444,-4.411606797154111,-3.2353562530004765,-1.2471981395969833,-7.1828836753842555,1.6352311556377508
2000-03-01,-0.6995548369998494,0.35739499326905566,-0.5475346948681237,-2.4850938307218073,-4.414540449025894,-2.5171025706457795,-3.886134166267652,-4.639330931218932,-3.1797892336902223,-0.7663509544049152,-8.211905079566462,2.00832130309625
2000-04-03,-0.481462804341215,0.45494829953487415,-0.40298160386464943,-2.233785607647054,-4.06830451963055,-2.479338006430709,-3.6146095351734076,-4.234484564303798,-3.0300915480162893,-1.0169453617643098,-7.110107738920968,1.8754343225648729
2000-05-01,-0.024694935834457254,0.8865784831735724,0.050646795254682964,-1.6645395551182607,-3.5238997389678284,-1.9856027131995635,-3.0229522716076707,-3.589478707480276,-2.4887319173984346,-0.6529603113157645,-6.2104423704686385,2.254783196456378
2000-06-01,-0.7497681239184484,0.21865735974064826,-0.4825453813683156,-2.2380922870147035,-4.191454375902337,-2.4953338573396544,-3.381936644418382,-3.8655688552809764,-2.9254209931161457,-1.3580540801028218,-6.088822649443893,1.7137801545702214
2000-07-03,-1.6509126261461615,-0.6166541041124018,-1.321398264557272,-3.252418614290342,-5.256525707343284,-3.42717452125727,-4.433315451655684,-4.982816776964938,-3.915148290331183,-2.1351972898141724,-7.523927210062576,1.0115297014349656
2000-08-01,-0.6810801706835345,0.29985114353421327,-0.401199487869186,-2.136806565395455,-4.090744521626299,-2.3485408833792576,-3.27603563828871,-3.7816570693987694,-2.7985931410900777,-1.1563225107977915,-6.106157842470738,1.820843485860535
2000-09-01,-1.6109944967196532,-0.5701474296967879,-1.3168944007135197,-3.2644991915864785,-5.3789357032372305,-3.579756349062413,-4.663909183310045,-5.256419993110873,-4.105510058536432,-2.1866155041047164,-8.00649986688211,1.070371407047599
2000-10-02,0.016922694535437266,0.9281863237107668,0.20960163374696972,-1.3804730274949217,-3.3661047819323,-1.8209094164861273,-2.6683455440202453,-3.1330000320521023,-2.231215420864263,-0.7452249365439756,-5.284663886362639,2.3100929451993046
2000-11-01,0.7771844985911658,1.5691970692548685,0.8659474609559181,-0.5294299357108345,-2.4790417207529614,-1.1726947510407815,-1.8624896469617624,-2.2445824264545444,-1.5053396841865463,-0.31823522506307933,-4.033405339518459,2.7142485509648706
2000-12-01,1.8411871233703803,2.4297416261075178,1.8993276391534808,0.8254764909276346,-1.0774075746591838,-0.028637476984927357,-0.4272639791754518,-0.6547483945034127,-0.21859105799533207,0.4294546772679597,-1.7555685094309381,3.2784740255755063
2001-01-02,3.286286776055336,3.5644456070355046,3.0030219505973843,2.4310155336169537,1.1840796673721732,1.2484511508791707,1.1204475018109727,1.0311976185156002,1.192829135355189,1.3154643557895085,0.502389978945672,3.7802666402263485
2001-02-01,3.104309601263777,3.3672252774882727,2.631457325673292,1.9171867385147534,0.3936124865827617,0.47702152167088396,0.115298393342389,-0.09954360814947716,0.30732660481245233,0.8560342997035786,-1.1991067207903328,3.5094844181014384
2001-03-01,4.2694770812997,4.433480684617486,3.8414944634033388,3.4741678001928067,2.3249178886970645,2.2540302854670236,2.2371099572253916,2.213295979831442,2.2508594280274075,2.19510762507813,2.0235621743624366,4.372544877293683
2001-04-02,5.540763121582759,5.4827845511325135,5.03008654811099,5.060726150548889,3.927638066604966,3.456532108635302,3.7373341443644126,3.8570737698343516,3.6039266492751576,2.926992621788771,4.205411829322303,5.003523858430836
2001-05-01,4.723997989134121,4.799915172062641,4.187789891990912,3.9316822162347886,2.719402854713615,2.3967772294862355,2.4315233866326835,2.4345296907525737,2.4190877586980575,2.2663256392706055,2.361765552413031,4.583641365261304
2001-06-01,4.772009208792882,4.807677838442381,4.2266257039724975,4.022920167348332,2.8265817483126954,2.419374426622478,2.518068567388232,2.5527975677422488,2.4737243408335052,2.192515593764388,2.603824314750458,4.519418646557849
2001-07-02,4.828302096889958,4.857536663299422,4.28062043566928,4.096993689230222,2.9453065260812705,2.532029615474096,2.618638193083944,2.646572302788197,2.5805942771876866,2.319191507356777,2.665813081315682,4.5553575281000125
2001-08-01,5.030074327168466,4.975679736980276,4.422749304584683,4.331651964466343,3.2064483574934632,2.574736093142427,2.7822755391125,2.8698818783675195,2.6840066040194843,2.177475371169857,3.1205037612183517,4.511659185946382
2001-09-04,5.579089252567204,5.34834805967952,4.835368236871407,4.941483251315737,3.8065920073640847,2.7773371550807724,3.2080390844434037,3.4015626297346557,3.000061376749863,1.9809390945783267,4.036381217240903,4.529244614523198
2001-10-01,7.2549337870582375,6.485926736852687,5.768630762932236,6.293455651646762,5.934279348641547,3.5829395462562363,4.301635310764906,4.627800652531966,3.953509403061628,2.3304385402893812,5.720098069831359,4.4986839343747365
2001-11-01,6.530923910871356,6.130914853552349,5.4870083644893874,5.769463957462051,5.016479044010191,3.5880183115646114,3.991851652534728,4.186585059113868,3.782330059257988,2.873620436526414,4.787063291130966,4.9768534433617395
2001-12-03,5.709159519664597,5.509924440536329,4.896928772378795,4.972249618581714,3.934275890043981,2.989389689024735,3.268868438692407,3.385913258029838,3.1389904838318383,2.465332229212369,3.7404992567015016,4.759085187444012
2002-01-02,5.479916812558239,5.3147571341794375,4.695567294532044,4.718600159044417,3.673957716725207,2.8206376160475166,3.0530391755366537,3.1404837266680863,2.9533121652353334,2.3677171231174077,3.399460363174045,4.628755893017478
2002-02-01,6.363752780752252,6.0772458852556,5.435516768555315,5.6479992241945665,4.72176318881774,3.5429363026633576,3.872868199982671,4.03759973468405,3.695154879345397,2.954798780863621,4.527337191496406,5.156324595190842
2002-03-01,6.878636381541048,6.453183124050965,5.83983064111866,6.22628918767878,5.561804843462426,4.03140333973615,4.521173772308296,4.783126871210608,4.248131872205874,3.226873669407615,5.645328143169626,5.2635028860319455
2002-04-01,7.218657877194401,6.720155953380935,6.045603638746511,6.488528554941553,5.915008451904735,4.195776027377907,4.684534499293935,4.954229543272337,4.403549592145284,3.3979186864081745,5.826314091762841,5.374263929159073
2002-05-01,7.6373162823095475,7.072150489806317,6.511128916868603,7.145734531853676,6.670991923939051,4.8303414622496765,5.507228031982869,5.86653710056968,5.1371723521213,3.7493554551047303,7.113009251173219,5.618535650787382
2002-06-03,7.083221590187816,6.568615608664863,6.137126409065452,6.746222439289196,6.255564714324802,4.572302428427921,5.308805656057869,5.6649324803446754,4.940809984116279,3.374652996899008,6.962748695083354,5.254028231755226
2002-07-01,8.787278473571302,8.02132087610843,7.5512535825456695,8.556728940983827,8.342025031868182,6.005051701439967,6.920632421356032,7.369418092487057,6.458799591584952,4.532330886240499,9.013528989538822,6.213737632037741
2002-08-01,10.079037994064821,9.149964896481787,8.554435018805773,9.787616411566692,9.733997619561151,6.954207546558111,7.8955451297619605,8.340530220203046,7.435678998634865,5.419408982879204,9.987460035210493,7.01438090180333
2002-09-03,10.668030307066934,9.598354614393845,8.923509415682386,10.284921974391903,10.43306712623635,7.273315824026261,8.25919124604997,8.747522971670652,7.756401274110014,5.685488009767781,10.523160464494708,7.178093411207587
2002-10-01,11.125307712875564,9.968825288385052,9.240032121607001,10.681815577334653,11.061878093981736,7.69694431862995,8.663448312494793,9.157240921852306,8.154758327880884,6.142972517570766,10.911513783084903,7.378094826168913
2002-11-01,9.737684340120701,8.92234509562051,8.252379752812566,9.335360180863672,9.179745986333465,6.70299184762575,7.418569447679202,7.77747259085102,7.045426109396558,5.524946444353973,9.02246784437779,7.0139006933236825
2002-12-02,9.16272573469441,8.459541549412886,7.786609987784554,8.71437557412802,8.44241410497033,6.212884105824257,6.818566530114856,7.123357525573093,6.499834048461928,5.2027801231733894,8.155029027759308,6.7660344655599
2003-01-02,9.758963584898561,8.893369933167072,8.200612286888731,9.30194454186819,9.29221638429345,6.700803377099329,7.412428698013995,7.782263783209276,7.028716086980258,5.538079186451306,9.043390084835634,6.889892830994038
2003-02-03,10.969597850913292,9.968023550274507,9.09457753207894,10.356036298986094,10.593936462105692,7.645453166824101,8.299242798954065,8.635163875465878,7.948394337750675,6.561354208166681,9.759632008682706,7.651971066110819
2003-03-03,11.024650973470562,10.066235262299795,9.173742884019,10.396224870615578,10.659823424852611,7.824264499777711,8.404959572116312,8.69339800605573,8.101644886552318,6.84659529467615,9.6573173332692,7.8504002396827754
