key,포트폴리오,구간,원천징수,합성,붕괴일,기본_CAGR_세전,기본_CAGR_세후,기본_최종_세전,기본_MDD,붕괴_CAGR_세전,붕괴_CAGR_세후,붕괴_최종_세전,붕괴_MDD,붕괴_최장회복,기본_순위,붕괴_순위
P3,P3 코어70(SPY60/SCHD20/IEF10/GLD10):위성30(TQQQ60/SGOV40),A,적용,기본,2001-08-30,0.07737309900855394,0.06959449000319529,44218.50963700471,-0.6189851356158812,0.03984200880194044,0.03497004958390959,21789.124822342426,-0.43326193114929135,2716,1.0,11.0
P3,P3 코어70(SPY60/SCHD20/IEF10/GLD10):위성30(TQQQ60/SGOV40),C,적용,기본,2001-08-30,0.10617260678892637,0.09704089832040674,146996.52618780622,-0.6189851356158812,0.05502245291134389,0.049607876110920435,41630.961715642065,-0.43326193114929135,2716,1.0,12.0
A80,"A80 P3 구성, 코어80:위성20",A,적용,기본,2001-08-30,0.07392275490329347,0.06655259419811244,41476.082023835224,-0.5440896552839032,0.048040820217438274,0.04239352437256061,25487.147407430828,-0.4080035294560459,1734,2.0,9.0
A80,"A80 P3 구성, 코어80:위성20",C,적용,기본,2001-08-30,0.09885759411061223,0.09079336159505269,123175.5840391598,-0.5440896552839032,0.06378602746894813,0.057697575263531364,51897.6004012765,-0.4080035294560459,1734,3.0,10.0
A-Q1,A-Q1 위성 QLD60/SGOV40,A,적용,기본,"해당 없음(합성 QLD 최저 원금의 1.90%, 2009-03-09)",0.06459555227314429,0.0575711948362414,34848.18110403588,-0.5628429607563434,0.06459555227314429,0.0575711948362414,34848.18110403588,-0.5628429607563434,2709,5.0,2.0
A-Q1,A-Q1 위성 QLD60/SGOV40,C,적용,기본,"해당 없음(합성 QLD 최저 원금의 1.90%, 2009-03-09)",0.08938982802989348,0.08201673696799117,97809.99724905973,-0.5628429607563434,0.08938982802989348,0.08201673696799117,97809.99724905973,-0.5628429607563434,2709,5.0,2.0
A-Q2,A-Q2 위성 QLD90/SGOV10,A,적용,기본,"해당 없음(합성 QLD 최저 원금의 1.90%, 2009-03-09)",0.06785034962681813,0.060236936385416495,37037.56625571951,-0.6781474507531013,0.06785034962681813,0.060236936385416495,37037.56625571951,-0.6781474507531013,3018,4.0,1.0
A-Q2,A-Q2 위성 QLD90/SGOV10,C,적용,기본,"해당 없음(합성 QLD 최저 원금의 1.90%, 2009-03-09)",0.09867878288436271,0.09045040235397983,122642.59594970394,-0.6781474507531013,0.09867878288436271,0.09045040235397983,122642.59594970394,-0.6781474507531013,3018,4.0,1.0
C,C 코어70=B-opt:위성30(TQQQ60/SGOV40),A,적용,기본,2001-08-30,0.06797776317303339,0.060355520416779385,37125.8755513447,-0.7412895566806652,0.03618698637184514,0.031001837490741035,20310.282796670974,-0.5978000410941019,3459,3.0,12.0
C,C 코어70=B-opt:위성30(TQQQ60/SGOV40),C,적용,기본,2001-08-30,0.10283748718784791,0.09398023360188024,135632.25251861426,-0.7412895566806652,0.057669686637304096,0.05182764809272,44505.90649486981,-0.5978000410941019,3459,2.0,11.0
B-opt,B-opt SCHD:SPY:QQQ=15%:55%:30%,A,적용,기본,비레버리지,0.05574521827098966,0.04839877566476636,29499.421424043536,-0.614877074408315,0.05574521827098966,0.04839877566476636,29499.421424043536,-0.614877074408315,3227,8.0,5.0
B-opt,B-opt SCHD:SPY:QQQ=15%:55%:30%,C,적용,기본,비레버리지,0.08200024826646168,0.07430449509613601,81586.14622455937,-0.614877074408315,0.08200024826646168,0.07430449509613601,81586.14622455937,-0.614877074408315,3227,9.0,6.0
B1,B1 SCHD:SPY:QQQ=2:3:5,A,적용,기본,비레버리지,0.054053108246684634,0.04684199919302556,28569.888537058956,-0.6895830959448848,0.054053108246684634,0.04684199919302556,28569.888537058956,-0.6895830959448848,3356,10.0,7.0
B1,B1 SCHD:SPY:QQQ=2:3:5,C,적용,기본,비레버리지,0.08313553915191751,0.07546821951993987,83898.19058303394,-0.6895830959448848,0.08313553915191751,0.07546821951993987,83898.19058303394,-0.6895830959448848,3356,8.0,5.0
B2,B2 SCHD:SPY:QQQ=1:3:6,A,적용,기본,비레버리지,0.053370587806867986,0.04620485809973429,28202.88913556109,-0.7225587868598925,0.053370587806867986,0.04620485809973429,28202.88913556109,-0.7225587868598925,3417,11.0,8.0
B2,B2 SCHD:SPY:QQQ=1:3:6,C,적용,기본,비레버리지,0.08423560847120992,0.076382203228331,86198.5827179534,-0.7225587868598925,0.08423560847120992,0.076382203228331,86198.5827179534,-0.7225587868598925,3417,6.0,3.0
B3,B3 SCHD:SPY:QQQ=3:3:4,A,적용,기본,비레버리지,0.05451931300953139,0.04729309485272992,28823.17514288873,-0.6537533239276274,0.05451931300953139,0.04729309485272992,28823.17514288873,-0.6537533239276274,3291,9.0,6.0
B3,B3 SCHD:SPY:QQQ=3:3:4,C,적용,기본,비레버리지,0.0817160295851902,0.07419880676505097,81016.99856595599,-0.6537533239276274,0.0817160295851902,0.07419880676505097,81016.99856595599,-0.6537533239276274,3291,10.0,7.0
SPY,SPY 100%,A,적용,기본,비레버리지,0.05718133162524963,0.04972735206526924,30310.7944361223,-0.5542179376787053,0.05718133162524963,0.04972735206526924,30310.7944361223,-0.5542179376787053,1682,7.0,4.0
SPY,SPY 100%,C,적용,기본,비레버리지,0.07952004078743102,0.07121558548938589,76746.54421151195,-0.5542179376787053,0.07952004078743102,0.07121558548938589,76746.54421151195,-0.5542179376787053,1682,12.0,9.0
QQQ,QQQ 100%,A,적용,기본,비레버리지,0.04718403902829671,0.040895670657892014,25074.46305025734,-0.8296413105860335,0.04718403902829671,0.040895670657892014,25074.46305025734,-0.8296413105860335,3791,12.0,10.0
QQQ,QQQ 100%,C,적용,기본,비레버리지,0.08406823906227112,0.07554963825425176,85844.71693544846,-0.8296413105860335,0.08406823906227112,0.07554963825425176,85844.71693544846,-0.8296413105860335,3791,7.0,4.0
C100,"코어100 (SPY60/SCHD20/IEF10/GLD10, 5/25 밴드)",A,적용,기본,비레버리지,0.06355571661618042,0.056423031673994206,34175.03227461643,-0.42873869238585416,0.06355571661618042,0.056423031673994206,34175.03227461643,-0.42873869238585416,1420,6.0,3.0
C100,"코어100 (SPY60/SCHD20/IEF10/GLD10, 5/25 밴드)",C,적용,기본,비레버리지,0.08054460151665155,0.07302634382629303,78711.28811167859,-0.42873869238585416,0.08054460151665155,0.07302634382629303,78711.28811167859,-0.42873869238585416,1420,11.0,8.0
P3,P3 코어70(SPY60/SCHD20/IEF10/GLD10):위성30(TQQQ60/SGOV40),A,적용,보정,2001-08-30,0.0760055530980539,0.0682851300716254,43111.55572625303,-0.6190727848612889,0.03983065217551407,0.03495901201689611,21784.37536220094,-0.4328815290088579,2716,1.0,11.0
P3,P3 코어70(SPY60/SCHD20/IEF10/GLD10):위성30(TQQQ60/SGOV40),C,적용,보정,2001-08-30,0.10512066949820853,0.09605917853758839,143316.65590573955,-0.6190727848612889,0.055013821809385854,0.049599384479184216,41621.88725326996,-0.4328815290088579,2716,1.0,12.0
A80,"A80 P3 구성, 코어80:위성20",A,적용,보정,2001-08-30,0.07299651637008409,0.06566574604112718,40767.86265723837,-0.5441361452785525,0.04803362060306027,0.04238651067167121,25483.652856059583,-0.4077254583538583,1734,2.0,9.0
A80,"A80 P3 구성, 코어80:위성20",C,적용,보정,2001-08-30,0.09814759109728333,0.09013285993726528,121072.31560463688,-0.5441361452785525,0.06378055343279598,0.05769225866094896,51890.48470379393,-0.4077254583538583,1734,4.0,10.0
A-Q1,A-Q1 위성 QLD60/SGOV40,A,적용,보정,"해당 없음(합성 QLD 최저 원금의 1.90%, 2009-03-09)",0.06421943036692968,0.05720835314137962,34603.25358674053,-0.5632692030011315,0.06421943036692968,0.05720835314137962,34603.25358674053,-0.5632692030011315,2709,5.0,2.0
A-Q1,A-Q1 위성 QLD60/SGOV40,C,적용,보정,"해당 없음(합성 QLD 최저 원금의 1.90%, 2009-03-09)",0.08910046585334652,0.08174003061410406,97120.06155766432,-0.5632692030011315,0.08910046585334652,0.08174003061410406,97120.06155766432,-0.5632692030011315,2709,5.0,2.0
A-Q2,A-Q2 위성 QLD90/SGOV10,A,적용,보정,"해당 없음(합성 QLD 최저 원금의 1.90%, 2009-03-09)",0.06728409727042028,0.05969220669726849,36647.50956876045,-0.6786832816547935,0.06728409727042028,0.05969220669726849,36647.50956876045,-0.6786832816547935,3018,3.0,1.0
A-Q2,A-Q2 위성 QLD90/SGOV10,C,적용,보정,"해당 없음(합성 QLD 최저 원금의 1.90%, 2009-03-09)",0.09824079095842553,0.090037949855716,121346.42101158638,-0.6786832816547935,0.09824079095842553,0.090037949855716,121346.42101158638,-0.6786832816547935,3018,3.0,1.0
C,C 코어70=B-opt:위성30(TQQQ60/SGOV40),A,적용,보정,2001-08-30,0.06663299947638479,0.05908257965659125,36203.831136268855,-0.7413886732886733,0.03617418195430244,0.03098948007252078,20305.273759752148,-0.5975555950562845,3459,4.0,12.0
C,C 코어70=B-opt:위성30(TQQQ60/SGOV40),C,적용,보정,2001-08-30,0.1017971217988054,0.09301895366246238,132263.74042073815,-0.7413886732886733,0.057659896373530195,0.05181802638115163,44494.930196264286,-0.5975555950562845,3459,2.0,11.0
B-opt,B-opt SCHD:SPY:QQQ=15%:55%:30%,A,적용,보정,비레버리지,0.05574521827098966,0.04839877566476636,29499.421424043536,-0.614877074408315,0.05574521827098966,0.04839877566476636,29499.421424043536,-0.614877074408315,3227,8.0,5.0
B-opt,B-opt SCHD:SPY:QQQ=15%:55%:30%,C,적용,보정,비레버리지,0.08200024826646168,0.07430449509613601,81586.14622455937,-0.614877074408315,0.08200024826646168,0.07430449509613601,81586.14622455937,-0.614877074408315,3227,9.0,6.0
B1,B1 SCHD:SPY:QQQ=2:3:5,A,적용,보정,비레버리지,0.054053108246684634,0.04684199919302556,28569.888537058956,-0.6895830959448848,0.054053108246684634,0.04684199919302556,28569.888537058956,-0.6895830959448848,3356,10.0,7.0
B1,B1 SCHD:SPY:QQQ=2:3:5,C,적용,보정,비레버리지,0.08313553915191751,0.07546821951993987,83898.19058303394,-0.6895830959448848,0.08313553915191751,0.07546821951993987,83898.19058303394,-0.6895830959448848,3356,8.0,5.0
B2,B2 SCHD:SPY:QQQ=1:3:6,A,적용,보정,비레버리지,0.053370587806867986,0.04620485809973429,28202.88913556109,-0.7225587868598925,0.053370587806867986,0.04620485809973429,28202.88913556109,-0.7225587868598925,3417,11.0,8.0
B2,B2 SCHD:SPY:QQQ=1:3:6,C,적용,보정,비레버리지,0.08423560847120992,0.076382203228331,86198.5827179534,-0.7225587868598925,0.08423560847120992,0.076382203228331,86198.5827179534,-0.7225587868598925,3417,6.0,3.0
B3,B3 SCHD:SPY:QQQ=3:3:4,A,적용,보정,비레버리지,0.05451931300953139,0.04729309485272992,28823.17514288873,-0.6537533239276274,0.05451931300953139,0.04729309485272992,28823.17514288873,-0.6537533239276274,3291,9.0,6.0
B3,B3 SCHD:SPY:QQQ=3:3:4,C,적용,보정,비레버리지,0.0817160295851902,0.07419880676505097,81016.99856595599,-0.6537533239276274,0.0817160295851902,0.07419880676505097,81016.99856595599,-0.6537533239276274,3291,10.0,7.0
SPY,SPY 100%,A,적용,보정,비레버리지,0.05718133162524963,0.04972735206526924,30310.7944361223,-0.5542179376787053,0.05718133162524963,0.04972735206526924,30310.7944361223,-0.5542179376787053,1682,7.0,4.0
SPY,SPY 100%,C,적용,보정,비레버리지,0.07952004078743102,0.07121558548938589,76746.54421151195,-0.5542179376787053,0.07952004078743102,0.07121558548938589,76746.54421151195,-0.5542179376787053,1682,12.0,9.0
QQQ,QQQ 100%,A,적용,보정,비레버리지,0.04718403902829671,0.040895670657892014,25074.46305025734,-0.8296413105860335,0.04718403902829671,0.040895670657892014,25074.46305025734,-0.8296413105860335,3791,12.0,10.0
QQQ,QQQ 100%,C,적용,보정,비레버리지,0.08406823906227112,0.07554963825425176,85844.71693544846,-0.8296413105860335,0.08406823906227112,0.07554963825425176,85844.71693544846,-0.8296413105860335,3791,7.0,4.0
C100,"코어100 (SPY60/SCHD20/IEF10/GLD10, 5/25 밴드)",A,적용,보정,비레버리지,0.06355571661618042,0.056423031673994206,34175.03227461643,-0.42873869238585416,0.06355571661618042,0.056423031673994206,34175.03227461643,-0.42873869238585416,1420,6.0,3.0
C100,"코어100 (SPY60/SCHD20/IEF10/GLD10, 5/25 밴드)",C,적용,보정,비레버리지,0.08054460151665155,0.07302634382629303,78711.28811167859,-0.42873869238585416,0.08054460151665155,0.07302634382629303,78711.28811167859,-0.42873869238585416,1420,11.0,8.0
P3,P3 코어70(SPY60/SCHD20/IEF10/GLD10):위성30(TQQQ60/SGOV40),A,미적용,기본,2001-08-30,0.07988193868349347,0.07198477286550764,46319.83651570849,-0.6159770353132836,0.04271357484121485,0.03744498472261859,23022.1372757946,-0.428468474426707,2669,1.0,11.0
P3,P3 코어70(SPY60/SCHD20/IEF10/GLD10):위성30(TQQQ60/SGOV40),C,미적용,기본,2001-08-30,0.1087566614591644,0.0994635207891692,156426.17915918448,-0.6159770353132836,0.0580380786122805,0.052303157637308084,44920.82634218006,-0.428468474426707,2669,1.0,12.0
A80,"A80 P3 구성, 코어80:위성20",A,미적용,기본,2001-08-30,0.07661365728716385,0.06911476505620628,43600.492929008025,-0.5407016787404665,0.05098364555503032,0.04492536308080708,26954.30261186736,-0.40337480930417824,1708,2.0,9.0
A80,"A80 P3 구성, 코어80:위성20",C,미적용,기본,2001-08-30,0.10159993777385723,0.09340131551057707,131634.43712396175,-0.5407016787404665,0.06682654111865838,0.06040077077901129,55998.55489474455,-0.40337480930417824,1708,3.0,10.0
A-Q1,A-Q1 위성 QLD60/SGOV40,A,미적용,기본,"해당 없음(합성 QLD 최저 원금의 1.90%, 2009-03-09)",0.06727947768103237,0.06014333159826313,36644.34352125322,-0.5595442251119627,0.06727947768103237,0.06014333159826313,36644.34352125322,-0.5595442251119627,2669,5.0,2.0
A-Q1,A-Q1 위성 QLD60/SGOV40,C,미적용,기본,"해당 없음(합성 QLD 최저 원금의 1.90%, 2009-03-09)",0.09206402240415223,0.08463223005181808,104413.42856863522,-0.5595442251119627,0.09206402240415223,0.08463223005181808,104413.42856863522,-0.5595442251119627,2669,5.0,2.0
A-Q2,A-Q2 위성 QLD90/SGOV10,A,미적용,기본,"해당 없음(합성 QLD 최저 원금의 1.90%, 2009-03-09)",0.07038147284119622,0.06266693561855652,38829.824068111535,-0.6760810016233211,0.07038147284119622,0.06266693561855652,38829.824068111535,-0.6760810016233211,3009,3.0,1.0
A-Q2,A-Q2 위성 QLD90/SGOV10,C,미적용,기본,"해당 없음(합성 QLD 최저 원금의 1.90%, 2009-03-09)",0.10113724892248,0.09278166113202979,130169.08236379748,-0.6760810016233211,0.10113724892248,0.09278166113202979,130169.08236379748,-0.6760810016233211,3009,4.0,1.0
C,C 코어70=B-opt:위성30(TQQQ60/SGOV40),A,미적용,기본,2001-08-30,0.07008023612294512,0.06226860913765453,38612.28167447691,-0.7397362821037606,0.03865721123428201,0.033219037204160085,21298.89516994474,-0.5950479778978128,3419,4.0,12.0
C,C 코어70=B-opt:위성30(TQQQ60/SGOV40),C,미적용,기본,2001-08-30,0.10504763237934855,0.09602782808606047,143064.47740725215,-0.7397362821037606,0.06025975271232986,0.05426032214886689,47503.14934792281,-0.5950479778978128,3419,2.0,11.0
B-opt,B-opt SCHD:SPY:QQQ=15%:55%:30%,A,미적용,기본,비레버리지,0.05830235851320653,0.05070081893100875,30958.836055139946,-0.6133543642359991,0.05830235851320653,0.05070081893100875,30958.836055139946,-0.6133543642359991,3132,8.0,5.0
B-opt,B-opt SCHD:SPY:QQQ=15%:55%:30%,C,미적용,기본,비레버리지,0.08457027432254693,0.07675002980608481,86910.37502705322,-0.6133543642359991,0.08457027432254693,0.07675002980608481,86910.37502705322,-0.6133543642359991,3132,9.0,6.0
B1,B1 SCHD:SPY:QQQ=2:3:5,A,미적용,기본,비레버리지,0.05622952974990025,0.04880130136785321,29770.71304022104,-0.6886454752227977,0.05622952974990025,0.04880130136785321,29770.71304022104,-0.6886454752227977,3305,10.0,7.0
B1,B1 SCHD:SPY:QQQ=2:3:5,C,미적용,기본,비레버리지,0.08537978624550524,0.07760795355743744,88655.57416871664,-0.6886454752227977,0.08537978624550524,0.07760795355743744,88655.57416871664,-0.6886454752227977,3305,7.0,4.0
B2,B2 SCHD:SPY:QQQ=1:3:6,A,미적용,기본,비레버리지,0.055294363688643156,0.047935283047754185,29248.982973866892,-0.7218640624868493,0.055294363688643156,0.047935283047754185,29248.982973866892,-0.7218640624868493,3411,11.0,8.0
B2,B2 SCHD:SPY:QQQ=1:3:6,C,미적용,기본,비레버리지,0.0861739332945608,0.07823343812692962,90400.39525884122,-0.7218640624868493,0.0861739332945608,0.07823343812692962,90400.39525884122,-0.7218640624868493,3411,6.0,3.0
B3,B3 SCHD:SPY:QQQ=3:3:4,A,미적용,기본,비레버리지,0.056948513039960735,0.0494792607503487,30177.83276537931,-0.6525405063471998,0.056948513039960735,0.0494792607503487,30177.83276537931,-0.6525405063471998,3268,9.0,6.0
B3,B3 SCHD:SPY:QQQ=3:3:4,C,미적용,기본,비레버리지,0.0842665172972723,0.07662502158543205,86264.08602338814,-0.6525405063471998,0.0842665172972723,0.07662502158543205,86264.08602338814,-0.6525405063471998,3268,10.0,7.0
SPY,SPY 100%,A,미적용,기본,비레버리지,0.06027036669666619,0.05249036842523047,32128.451739747157,-0.5518942975192181,0.06027036669666619,0.05249036842523047,32128.451739747157,-0.5518942975192181,1656,7.0,4.0
SPY,SPY 100%,C,미적용,기본,비레버리지,0.08249034038561431,0.07404394740984777,82576.60602952776,-0.5518942975192181,0.08249034038561431,0.07404394740984777,82576.60602952776,-0.5518942975192181,1656,12.0,9.0
QQQ,QQQ 100%,A,미적용,기본,비레버리지,0.04824013237814828,0.04182013522076211,25584.0705413726,-0.8296390365521672,0.04824013237814828,0.04182013522076211,25584.0705413726,-0.8296390365521672,3747,12.0,10.0
QQQ,QQQ 100%,C,미적용,기본,비레버리지,0.08511936649812823,0.07655384018590405,88090.49661154937,-0.8296390365521672,0.08511936649812823,0.07655384018590405,88090.49661154937,-0.8296390365521672,3747,8.0,5.0
C100,"코어100 (SPY60/SCHD20/IEF10/GLD10, 5/25 밴드)",A,미적용,기본,비레버리지,0.06664043201251557,0.05905228594271783,36208.86698501986,-0.42592873763509775,0.06664043201251557,0.05905228594271783,36208.86698501986,-0.42592873763509775,1341,6.0,3.0
C100,"코어100 (SPY60/SCHD20/IEF10/GLD10, 5/25 밴드)",C,미적용,기본,비레버리지,0.08363152794255502,0.07575518318269925,84927.9587160645,-0.42592873763509775,0.08363152794255502,0.07575518318269925,84927.9587160645,-0.42592873763509775,1341,11.0,8.0
