,0
2020-11-17,7442.0400390625
2020-11-18,7357.33984375
2020-11-19,7386.85986328125
2020-11-20,7336.759765625
2020-11-23,7378.93994140625
2020-11-24,7498.2900390625
2020-11-25,7486.68017578125
2020-11-27,7505.3798828125
2020-11-30,7472.06005859375
2020-12-01,7556.509765625
2020-12-02,7570.759765625
2020-12-03,7567.43994140625
2020-12-04,7634.77001953125
2020-12-07,7620.0
2020-12-08,7641.43017578125
2020-12-09,7581.06005859375
2020-12-10,7571.8701171875
2020-12-11,7562.4599609375
2020-12-14,7530.8701171875
2020-12-15,7628.27978515625
2020-12-16,7641.81982421875
2020-12-17,7686.18017578125
2020-12-18,7659.75
2020-12-21,7630.06982421875
2020-12-22,7614.830078125
2020-12-23,7620.6298828125
2020-12-24,7648.39013671875
2020-12-28,7715.10009765625
2020-12-29,7697.93017578125
2020-12-30,7709.10009765625
2020-12-31,7759.35009765625
2021-01-04,7645.27001953125
2021-01-05,7700.33984375
2021-01-06,7744.43017578125
2021-01-07,7861.10009765625
2021-01-08,7905.27978515625
2021-01-11,7853.4501953125
2021-01-12,7856.72021484375
2021-01-13,7874.75
2021-01-14,7846.10009765625
2021-01-15,7789.7900390625
2021-01-19,7853.47021484375
2021-01-20,7962.919921875
2021-01-21,7966.10986328125
2021-01-22,7942.2001953125
2021-01-25,7970.919921875
2021-01-26,7959.10009765625
2021-01-27,7754.740234375
2021-01-28,7831.22021484375
2021-01-29,7681.009765625
2021-02-01,7804.31005859375
2021-02-02,7912.8701171875
2021-02-03,7920.85009765625
2021-02-04,8007.6201171875
2021-02-05,8039.669921875
2021-02-08,8099.330078125
2021-02-09,8091.7001953125
2021-02-10,8089.10986328125
2021-02-11,8104.18994140625
2021-02-12,8142.7900390625
2021-02-16,8139.16015625
2021-02-17,8137.8798828125
2021-02-18,8102.240234375
2021-02-19,8087.68017578125
2021-02-22,8025.81005859375
2021-02-23,8036.06005859375
2021-02-24,8127.3798828125
2021-02-25,7929.56005859375
2021-02-26,7892.81005859375
2021-03-01,8080.77978515625
2021-03-02,8015.5400390625
2021-03-03,7911.2099609375
2021-03-04,7806.4501953125
2021-03-05,7958.97998046875
2021-03-08,7916.41015625
2021-03-09,8029.2001953125
2021-03-10,8078.0498046875
2021-03-11,8162.580078125
2021-03-12,8172.89990234375
2021-03-15,8226.3203125
2021-03-16,8213.6298828125
2021-03-17,8237.349609375
2021-03-18,8116.169921875
2021-03-19,8112.1298828125
2021-03-22,8169.14013671875
2021-03-23,8106.830078125
2021-03-24,8063.0
2021-03-25,8105.509765625
2021-03-26,8240.3798828125
2021-03-29,8233.240234375
2021-03-30,8208.099609375
2021-03-31,8238.48046875
2021-04-01,8335.91015625
2021-04-05,8457.400390625
2021-04-06,8449.5400390625
2021-04-07,8462.1796875
2021-04-08,8499.849609375
2021-04-09,8565.5703125
2021-04-12,8564.0302734375
2021-04-13,8592.25
2021-04-14,8558.16015625
2021-04-15,8653.2900390625
2021-04-16,8684.509765625
2021-04-19,8638.419921875
2021-04-20,8579.9501953125
2021-04-21,8659.7998046875
2021-04-22,8580.73046875
2021-04-23,8674.7998046875
2021-04-26,8690.259765625
2021-04-27,8688.4501953125
2021-04-28,8681.169921875
2021-04-29,8740.349609375
2021-04-30,8678.16015625
2021-05-03,8702.01953125
2021-05-04,8643.91015625
2021-05-05,8650.0400390625
2021-05-06,8722.0400390625
2021-05-07,8787.8203125
2021-05-10,8696.2900390625
2021-05-11,8620.98046875
2021-05-12,8437.240234375
2021-05-13,8541.3896484375
2021-05-14,8669.490234375
2021-05-17,8647.5703125
2021-05-18,8574.98046875
2021-05-19,8550.9501953125
2021-05-20,8641.98046875
2021-05-21,8635.5498046875
2021-05-24,8722.0
2021-05-25,8703.58984375
2021-05-26,8720.0400390625
2021-05-27,8730.9697265625
2021-05-28,8738.76953125
2021-06-01,8734.740234375
2021-06-02,8748.2998046875
2021-06-03,8717.9697265625
2021-06-04,8795.080078125
2021-06-07,8788.2802734375
2021-06-08,8790.0
2021-06-09,8774.3095703125
2021-06-10,8815.5595703125
2021-06-11,8832.9404296875
2021-06-14,8851.169921875
2021-06-15,8833.6796875
2021-06-16,8786.1796875
2021-06-17,8782.580078125
2021-06-18,8667.759765625
2021-06-21,8789.51953125
2021-06-22,8834.5595703125
2021-06-23,8825.009765625
2021-06-24,8877.0595703125
2021-06-25,8906.7900390625
2021-06-28,8927.400390625
2021-06-29,8930.669921875
2021-06-30,8942.7802734375
2021-07-01,8990.080078125
2021-07-02,9058.66015625
2021-07-06,9040.759765625
2021-07-07,9071.1396484375
2021-07-08,8995.259765625
2021-07-09,9096.83984375
2021-07-12,9128.2197265625
2021-07-13,9096.150390625
2021-07-14,9107.849609375
2021-07-15,9078.330078125
2021-07-16,9009.8896484375
2021-07-19,8867.0703125
2021-07-20,9001.76953125
2021-07-21,9075.9697265625
2021-07-22,9094.9501953125
2021-07-23,9187.6396484375
2021-07-26,9209.6298828125
2021-07-27,9166.26953125
2021-07-28,9164.6201171875
2021-07-29,9204.25
2021-07-30,9155.2099609375
2021-08-02,9138.3603515625
2021-08-03,9213.349609375
2021-08-04,9170.759765625
2021-08-05,9226.490234375
2021-08-06,9243.0302734375
2021-08-09,9235.0498046875
2021-08-10,9244.2197265625
2021-08-11,9267.400390625
2021-08-12,9297.2001953125
2021-08-13,9312.509765625
2021-08-16,9337.1796875
2021-08-17,9271.830078125
2021-08-18,9173.9296875
2021-08-19,9186.0703125
2021-08-20,9261.3095703125
2021-08-23,9341.08984375
2021-08-24,9355.1103515625
2021-08-25,9376.0
2021-08-26,9321.740234375
2021-08-27,9404.150390625
2021-08-30,9445.240234375
2021-08-31,9433.580078125
2021-09-01,9437.150390625
2021-09-02,9465.4697265625
2021-09-03,9462.5400390625
2021-09-07,9430.6796875
2021-09-08,9418.5703125
2021-09-09,9375.990234375
2021-09-10,9304.0302734375
2021-09-13,9325.2900390625
2021-09-14,9273.990234375
2021-09-15,9352.830078125
2021-09-16,9338.6103515625
2021-09-17,9253.5703125
2021-09-20,9096.51953125
2021-09-21,9089.5498046875
2021-09-22,9176.080078125
2021-09-23,9287.7998046875
2021-09-24,9301.490234375
2021-09-27,9275.8701171875
2021-09-28,9087.4697265625
2021-09-29,9102.6201171875
2021-09-30,8994.830078125
2021-10-01,9098.25
2021-10-04,8980.6396484375
2021-10-05,9076.1904296875
2021-10-06,9113.4501953125
2021-10-07,9191.1904296875
2021-10-08,9173.740234375
2021-10-11,9110.759765625
2021-10-12,9088.73046875
2021-10-13,9116.3896484375
2021-10-14,9272.9697265625
2021-10-15,9342.150390625
