date,SPY,QQQ,IEF,GLD,TQQQ,SGOV,SCHD_a,SCHD_b,SCHD_c,SPTL
1993-01-29,,,,,,,,,,
1993-02-01,0.0071123975867979,,0.0017956899938536,-0.0021512002105886,,0.0002434512999459,0.0071123975867979,0.011083709733668,0.0098854469890372,0.0
1993-02-02,0.0021186427365937,,-0.0047242725484654,-0.0003142189495986,,8.115043331533046e-05,0.0021186427365937,0.0018269816706948,0.0022590077571196,-0.004980094409710034
1993-02-03,0.010571209771033,,0.0004903681301311,-0.0044095634847253,,8.284206496161217e-05,0.010571209771033,0.010334396716745,0.009015796318599,0.002003104673166556
1993-02-04,0.0041841737550065,,0.0040840199361966,-0.0006203434257426,,8.199618451884055e-05,0.0041841737550065,0.0078217764213199,0.0111695371748299,0.004995410912858711
1993-02-05,-0.0006949328290809,,0.0057345855699279,-0.0007731540260607,,8.115043331533046e-05,-0.0006949328290809,0.0011941786733533,-0.0007366687014909,0.003976433087591547
1993-02-08,0.0,,-0.0027877103379203,0.000577344492858,,0.0002434512999459,0.0,-0.0005961593522747,0.0007372117823374,-0.001980892094754827
1993-02-09,-0.0069495238277781,,-0.0027766895551881,0.0002939656270689,,8.171425309254811e-05,-0.0069495238277781,-0.0065633458736388,-0.0029459646082661,-0.0009922543825815477
1993-02-10,0.0013994758853077,,-0.002119278162389,0.0054760095458218,,8.199618451884055e-05,0.0013994758853077,-0.0006007066827742,0.0007385862968734,-0.005958099277161288
1993-02-11,0.0048920974909765,,0.0024495226808979,0.0065071553902666,,8.227813030504978e-05,0.0048920974909765,0.0042069725113105,0.0022144471012892,0.004995410912858711
1993-02-12,-0.0076490958060793,,0.0014701244137042,-0.0084446938438686,,8.171425309254811e-05,-0.0076490958060793,-0.0071814093871125,-0.0051557124590306,0.0009934374569642301
1993-02-16,-0.0252281912680746,,0.0016304443356635,0.0007155811514837,,0.0003279847380753,-0.0252281912680746,-0.0204944326459581,-0.0148033038285287,-0.0009924515184516203
1993-02-17,-0.0007187735660187,,0.0047525066254506,0.0034797073578422,,8.199618451884055e-05,-0.0007187735660187,-0.0024612670737762,-0.0007516127891167,0.004969002431112202
1993-02-18,-0.000719210562994,,0.0087299597058612,-0.0019770811061665,,8.143233602507786e-05,-0.000719210562994,-0.0043187621544249,-0.0060151837144005,0.008903404224776201
1993-02-19,0.0035994416721907,,0.0004864753750266,0.0025651889970876,,8.086854496221152e-05,0.0035994416721907,0.0099135255505034,0.0105902407827336,0.0
1993-02-22,0.0035870906223454,,0.0044337815668195,-0.0033581487800434,,0.0002459885535565,0.0035870906223454,0.0018404957859132,0.0097307253391629,0.006862038086023814
1993-02-23,-0.0007155375387321,,0.0114684145341202,-0.0003142649398995,,8.25600904522754e-05,-0.0007155375387321,-0.0061238217913858,-0.0022233217797466,0.008762988808838745
1993-02-24,0.0128759311691564,,-0.0064775116165573,0.0008992352706475,,8.227813030504978e-05,0.0128759311691564,0.0135551617104923,0.0066860655042,-0.004825423537877627
1993-02-25,0.0021186427365937,,-0.0018327996395769,-0.0009203253787987,,8.284206496161217e-05,0.0021186427365937,0.0036474901119043,0.0036902059488215,-0.002909354296763089
1993-02-26,0.0014094946361378,,0.0004850794442303,-0.0060789200691581,,8.25600904522754e-05,0.0014094946361378,0.0042397819674346,0.00220540282109,0.00804030687670676
1993-03-01,-0.0028143171330545,,0.0064397167181439,0.0027143760349239,,0.0002476802713568,-0.0028143171330545,-0.001809476956171,-0.0022005497225241,0.007781038999047585
1993-03-02,0.0148193954607758,,-0.0001807263879829,0.0019677321156771,,8.25600904522754e-05,0.0148193954607758,0.012689110518153,0.0102936204811774,0.0
1993-03-03,0.0041730004389008,,0.004815706241615,0.0012042925010248,,8.312405383415996e-05,0.0041730004389008,-0.0005969508371416,0.0,0.00579188076933046
1993-03-04,-0.0055409041694605,,0.0034879963873284,-0.0045626202605046,,8.227813030504978e-05,-0.0055409041694605,-0.0053730875353465,-0.0014553521729556,0.005757772210177814
1993-03-05,-0.0027849203367494,,-0.0055071068937608,0.00517117796527,,8.143233602507786e-05,-0.0027849203367494,-0.0012004418407727,-0.0058306600953942,-0.004768946542812458
1993-03-08,0.0223458537070289,,0.0027830158299081,-0.0068562277358313,,0.0002519103199261,0.0223458537070289,0.0150241223589298,0.014662590150307,0.003833997491171859
1993-03-09,-0.0034150455107705,,-0.0038383510238713,-0.0016903482170867,,8.397010664203603e-05,-0.0034150455107705,0.0029605455633925,-0.0007229565501974,-0.0028646848271225434
1993-03-10,0.0020563537114377,,-0.0034962945212138,-0.0026107448040941,,8.368807467327362e-05,0.0020563537114377,0.0064935432965311,0.0028927138466401,-0.003832589983031265
1993-03-11,-0.0027362291111501,,0.0004844834146375,0.0024422762998154,,8.340605707101498e-05,-0.0027362291111501,-0.0046920528897397,-0.0057679818157427,0.0
1993-03-12,-0.0102880587807999,,-0.0097374206880313,0.0002949450420514,,8.284206496161217e-05,-0.0102880587807999,-0.0094285900531201,-0.0087018487613802,-0.010576896571257488
1993-03-15,0.0048514896049196,,-0.0038023458252192,0.0030252272632063,,0.0002493721615024,0.0048514896049196,0.0005946786227344,0.0021943664949297,-0.005830666359792014
1993-03-16,0.0,,0.0074243078690585,0.0030378215836951,,8.368807467327362e-05,0.0,0.0035673781672138,0.0051098521577002,0.004887949931945856
1993-03-17,-0.0062076562448707,,0.0028018881011228,-0.0007708373235624,,8.340605707101498e-05,-0.0062076562448707,-0.0023695920651558,-0.0029051892842849,0.001945240596152198
1993-03-18,0.0062464319471555,,0.0061305192588183,0.004551778738476,,8.340605707101498e-05,0.0062464319471555,0.0083135191732983,0.0080118300980898,0.005824468410492223
1993-03-19,-0.0015138136937667,,-0.0011749376907932,0.0042282538135284,,8.25600904522754e-05,-0.0015138136937667,0.0,-0.0007229565501974,-0.0009637423215919094
1993-03-22,-0.0055516144903344,,0.0001262039802029,0.002831588838704,,0.0002485261948848,-0.0055516144903344,-0.0023556367373127,-0.0007227188378374,-0.001933072749373821
1993-03-23,0.0020934776145353,,0.0034760968757619,-0.0021155890905198,,8.227813030504978e-05,0.0020934776145353,-0.0035420447164046,-0.0007242566139646,0.004839945193033879
1993-03-24,0.0,,-0.0025030909852257,-0.0027226190427055,,8.171425309254811e-05,0.0,-0.0017773795210072,4.444175536466588e-07,-0.0028891451318735495
1993-03-25,0.0062674665315143,,-0.001836005104745,0.0048228779538965,,8.171425309254811e-05,0.0062674665315143,0.0065279189445781,0.006584043131339,-0.0038652323438843617
1993-03-26,-0.005536629102383,,-0.0071053748927347,0.0002897025510916,,8.143233602507786e-05,-0.005536629102383,-0.0035375619908651,-0.004360735468078,-0.009700193881651331
1993-03-29,0.0041758408683494,,0.0024495421591066,-0.0030385875629449,,0.0002459885535565,0.0041758408683494,0.0065089766968788,0.0036496722599124,0.003918623702894974
1993-03-30,0.0027716523449541,,0.0028022889610433,0.0081289265345398,,8.227813030504978e-05,0.0027716523449541,0.0017638573541871,0.0,0.0
1993-03-31,-0.0006905388980246,,-0.000507192954859,0.010156505210723,,8.143233602507786e-05,-0.0006905388980246,-0.0041078488857411,0.0,0.00490653381566486
1993-04-01,-0.0034582954538843,,-0.0014974649438989,-0.0043034396619544,,8.086854496221152e-05,-0.0034582954538843,0.0,0.0,-0.003906979390178922
1993-04-02,-0.0208187079698838,,-0.0060984411982057,0.0111381417351054,,8.115043331533046e-05,-0.0208187079698838,-0.0223926553915522,-0.0130905876670021,-0.007842534887823494
1993-04-05,0.0049607862072635,,0.0027793934925491,-0.0025321416344106,,0.0002442970080752,0.0049607862072635,0.006630287168392,0.0058951467800409,0.001975570669050297
1993-04-06,-0.0028209091528615,,0.0037904906864155,-0.0025164858016778,,8.115043331533046e-05,-0.0028209091528615,-0.0005988457643143,0.0029298855703594,0.006904416208695308
1993-04-07,0.0035365616138438,,0.0008162781412228,-0.0048868454289322,,8.143233602507786e-05,0.0035365616138438,0.0077891595178551,0.001461265466037,0.001958692380923388
1993-04-08,-0.0014098109832957,,0.0067911734225312,0.0022162125880952,,8.171425309254811e-05,-0.0014098109832957,0.0023782934745399,0.0,0.010752552378376246
1993-04-12,0.0141141077334185,,0.003932112448774,-4.383561643835617e-05,,0.0003246017332613,0.0141141077334185,0.0118621389223703,0.0094824672633477,0.005802353184562348
1993-04-13,0.0020883440958812,,0.0004836248554839,-0.0023813292744799,,8.086854496221152e-05,0.0020883440958812,0.005861967272742,0.002167701646796,0.0019232862793483463
1993-04-14,-0.0013890973957054,,0.0024820505541906,0.004592545699395,,7.974113509407367e-05,-0.0013890973957054,-0.000582853465445,0.0,0.0028786400982265814
1993-04-15,0.0,,0.0014831531543203,0.0019106966760826,,7.889572838382894e-05,0.0,-0.0052480102268168,0.0,0.0028711265846961265
1993-04-16,0.0,,-0.0008497629103511,-0.0031092179775824,,7.945931850764159e-05,0.0,0.005861967272742,0.0057677006262024,-0.003815789552328863
1993-04-19,-0.004171934377207,,0.0017824696183057,0.0051469368143841,,0.0002383779555229,-0.004171934377207,-0.0040791228444561,-0.0007169525559569,0.0019149402917071345
1993-04-20,-0.0048889617897583,,0.0001493498362117,0.0008724333220386,,7.861395484425642e-05,-0.0048889617897583,-0.0076073357092657,-0.0043042413478119,-0.001911280304044305
1993-04-21,-0.0007026756203563,,0.0008163234270311,-0.0026587965034034,,7.805045080429751e-05,-0.0007026756203563,-0.0058958546081773,-0.0036024045376553,0.0009565326628455662
1993-04-22,-0.0126389432585721,,0.0011501517792619,0.0008739968481027,,7.833219565144366e-05,-0.0126389432585721,-0.0088966970378572,-0.0079536546372849,0.0
1993-04-23,-0.0042683011797582,,-0.0021838341739352,0.0164936093245965,,7.889572838382894e-05,-0.0042683011797582,-0.0035907983730739,-0.0051019155936412,-0.004784461704787857
1993-04-26,-0.0078571810908038,,-0.0025431050941938,0.0125794746938761,,0.0002383779555229,-0.0078571810908038,-0.0132131025760565,-0.005860597696402,-0.002884628270305667
1993-04-27,0.0107990513863223,,-0.0054841739023261,0.0061450897716241,,8.086854496221152e-05,0.0107990513863223,0.0066951084599824,0.0051581814820058,-0.006749843459293969
1993-04-28,-0.0021364832723742,,-0.0008407289516398,-0.0048487505944909,,8.143233602507786e-05,-0.0021364832723742,0.0006042599538056,-0.0021984049141041,-0.0019414260827047558
1993-04-29,0.0042823522384636,,0.0034728680057571,0.0168606453280894,,8.171425309254811e-05,0.0042823522384636,0.0030213669252918,0.0036725272869697,0.003890938261088328
1993-04-30,0.0014219933396428,,-0.0034910794686386,-0.0036667519299814,,8.115043331533046e-05,0.0014219933396428,0.0024094982777937,0.0007321736306178,-0.00019559480737518786
1993-05-03,0.0063872518924148,,0.0064413338438145,-3.287671232876712e-05,,0.0002442970080752,0.0063872518924148,0.0054084181344349,0.0043890023211283,0.008772526924399893
1993-05-04,0.0035266633563377,,0.0031483461654461,0.0052106047425174,,8.030481132146755e-05,0.0035266633563377,0.00418409232749,0.004370328843241,0.005797116494411059
1993-05-05,0.002810606781316,,-0.0008484216554525,-0.0053457897338161,,8.030481132146755e-05,0.002810606781316,-0.0011900035724333,0.0,-0.0009608541138199644
1993-05-06,-0.0035038771788307,,0.0011494593316793,0.0035176226061232,,8.086854496221152e-05,-0.0035038771788307,-0.0005961149351885,-0.0014500387998662,0.0019231821646323866
1993-05-07,-0.0021094382708881,,-0.0025097931314674,0.0056149201394909,,8.002296603164942e-05,-0.0021094382708881,-0.0005961593522747,-0.0014528377638235,-0.004798614505697296
1993-05-10,0.0021138974069792,,0.0027828011180839,-0.0019909186703707,,0.0002409144339644,0.0021138974069792,0.0011933412739977,0.0014549515724124,0.003857566966090742
1993-05-11,0.0042194214352369,,0.0008163131160997,-0.004074860249401,,8.030481132146755e-05,0.0042194214352369,0.0059594079624039,0.0050833880093457,0.0
1993-05-12,-0.0014004608878259,,-0.004168813143553,0.0023810489754455,,8.086854496221152e-05,-0.0014004608878259,0.0023699011853894,0.0007227135350418,-0.005763703633011263
1993-05-13,-0.011921504568224,,-0.0038252221812359,0.0303090860144756,,8.115043331533046e-05,-0.011921504568224,-0.0135938656171065,-0.010830806080496,-0.007730115539872462
1993-05-14,-0.0007099477928732,,-0.0015021317190214,0.0032587958642828,,8.199618451884055e-05,-0.0007099477928732,-0.0029957103378832,-0.0014597548754627,0.0
1993-05-17,0.0035507671814332,,-0.0025110568499145,0.0028188343142871,,0.0002485261948848,0.0035507671814332,0.0,-0.0029239680750825,-0.0019461624641959885
1993-05-18,-0.0007069983989326,,-0.0044584463258943,-0.0039378377125049,,8.397010664203603e-05,-0.0007069983989326,-0.0024037065509987,-0.0029326699920688,-0.004879261168882154
1993-05-19,0.0205379200042896,,0.0031281563767416,0.0383250932981741,,8.425215297839755e-05,0.0205379200042896,0.012047805723286,0.0132358631970379,0.003922242743652493
1993-05-20,0.0027759608762965,,0.0014773473746795,-0.0212206996739445,,8.312405383415996e-05,0.0027759608762965,0.0053574697556029,0.0043539013235787,0.0
1993-05-21,-0.008995863672238,,-0.0044573843512264,-0.0014823339709902,,8.284206496161217e-05,-0.008995863672238,-0.010065484190847,-0.0086708065871844,-0.004883192371806122
1993-05-24,0.0041894123305292,,0.0001420474086145,0.0160421400324803,,0.0002519103199261,0.0041894123305292,0.0053832286039632,0.0036447314785927,0.0029444916299325996
1993-05-25,0.0020859671886035,,-0.0008304127777719,-0.0046253293721386,,8.509837820406646e-05,0.0020859671886035,0.0023793973873622,0.0029039737958516,-0.000978869626130363
1993-05-26,0.0124912094188172,,0.0034562970363585,-0.0079579787716592,,8.594473277766929e-05,0.0124912094188172,0.0100892551287805,0.0094140589036193,0.006856437281961503
1993-05-27,-0.0034268005421215,,0.000486208924725,0.0006565978382135,,8.538048202180974e-05,-0.0034268005421215,-0.0017628206110825,0.0007174669457175,0.0019454796133246965
1993-05-28,-0.0048144589833462,,-0.0028079045534093,0.0071938442980252,,8.566260021264535e-05,-0.0048144589833462,-0.0023546191295759,-0.0028675613683764,-9.826810032254052e-05
1993-06-01,0.0096753472717594,,0.0065747854507496,-0.0003087713695181,,0.0003426504008505,0.0096753472717594,0.0064897771863894,0.0079081598273365,0.010743951287495168
1993-06-02,-0.0013691314239641,,0.0011471472203929,-0.0221389567840619,,8.509837820406646e-05,-0.0013691314239641,0.0,0.0,0.0
1993-06-03,-0.0034268005421215,,0.0031365685857182,0.015436195567435,,8.594473277766929e-05,-0.0034268005421215,-0.0017583210260853,-0.0021401187205046,0.0019310491734663149
1993-06-04,-0.0034389645270425,,-0.0064467000253646,0.0077285660491865,,8.481628875831466e-05,-0.0034389645270425,-0.0058716798533019,-0.0035737699873792,-0.0057864612602562815
1993-06-07,-0.003450297074963,,0.0021189686691214,-0.0127447411191085,,0.0002612202204049,-0.003450297074963,-0.0082695698801645,-0.001434684857438,0.0029105952303902782
1993-06-08,-0.0090029352331542,,-0.000505062078058,0.0065609295079075,,8.679121672886754e-05,-0.0090029352331542,-0.00536053421362,-0.0043102384060872,-0.003868607641145938
1993-06-09,0.0034940057728061,,0.0014774807998289,-0.0101375411825906,,8.763783008732688e-05,0.0034940057728061,0.0041917328789198,0.0028856808513622,0.004855573281953518
1993-06-10,0.0006961367915347,,0.0001550754826168,-0.0017608579483953,,8.707340680163684e-05,0.0006961367915347,-0.0005961593522747,-0.0007189073507372,0.0
1993-06-11,0.0041758408683494,,0.0071243861641348,-0.0012245511371192,,8.707340680163684e-05,0.0041758408683494,0.0011933412739977,0.0014394739265775,0.008695330881962393
1993-06-14,-0.0013862864269349,,0.0007886896311043,-0.0198789682473632,,0.0002561414460654,-0.0013862864269349,0.0011914213681176,0.0014379039620413,-0.0009588327021938792
1993-06-15,-0.0020816249871814,,0.0008162931082569,0.0064628702969923,,8.538048202180974e-05,-0.0020816249871814,0.0011906868756279,-0.0014358393629325,0.0
1993-06-16,0.0020859671886035,,0.0001518805066183,0.0072423598313495,,8.538048202180974e-05,0.0020859671886035,0.0041618274466554,0.0043132751366776,-0.0009587880705032026
1993-06-17,0.0034702967654118,,0.0018139251789472,0.0039292584871947,,8.509837820406646e-05,0.0034702967654118,0.0023685600256095,0.0028633327963676,0.002878976097262287
1993-06-18,-0.0082350100724376,,-0.0028350289997883,0.0039137941071233,,8.481628875831466e-05,-0.0082350100724376,-0.0088601565779034,-0.0099924318812006,-0.000955841996199247
1993-06-21,0.0021062389455837,,0.003780442371501,-0.0009765272919997,,0.0002569878006379,0.0021062389455837,0.0083434323557878,0.0057677006262024,0.0038304369136130667
1993-06-22,0.0007008350790023,,0.0001510814730899,-0.0047336683900089,,8.566260021264535e-05,0.0007008350790023,0.0011819331437725,0.0007163304173278,0.0
1993-06-23,-0.0091032437815293,,-0.0001813274517196,-0.0046205033726561,,8.650904103468159e-05,-0.0091032437815293,-0.0101554098609499,-0.0057886484027267,0.0009545091657108262
1993-06-24,0.0134275435025144,,0.0024813737864961,0.0185126041577263,,8.735561125409106e-05,0.0134275435025144,0.0102591024102252,0.0065507790743504,0.002859394705983398
1993-06-25,-0.0006974903225134,,0.0028176366344227,0.0058729672793619,,8.679121672886754e-05,-0.0006974903225134,0.0,0.0014460682158774,0.0047527075465596536
1993-06-28,0.0111652567528139,,0.003118081345929,-0.0020270272042192,,0.0002586806391539,0.0111652567528139,0.0113506152870328,0.0108303782102612,0.0037834778466605545
1993-06-29,-0.0048312080978544,,0.0011506398715902,-1.0958904109589042e-05,,8.594473277766929e-05,-0.0048312080978544,-0.0017723446018779,-0.0035713641329581,0.0
1993-06-30,0.0,,-0.000520304359004,0.0082479994014718,,8.481628875831466e-05,0.0,0.0005916067147453,0.000716475676288,0.005401887848061504
1993-07-01,-0.0027737223384272,,0.0001480174374613,0.0014423374362259,,8.481628875831466e-05,-0.0027737223384272,-0.0035479684393823,-0.0014324177795332,-0.0009418858806451436
1993-07-02,-0.0055631802826899,,0.0028245757428861,0.0239995951856001,,8.368807467327362e-05,-0.0055631802826899,-0.0077154216751553,-0.0057390612223439,0.0028293385357927026
1993-07-06,-0.010489240129804,,-0.0024154707629462,0.0091032914126777,,0.0003302403618091,-0.010489240129804,-0.0065789672517124,-0.0079361310773643,-0.0037619045308076027
1993-07-07,0.0028268798813351,,0.0001481506918324,0.0105852366786813,,8.425215297839755e-05,0.0028268798813351,0.0066225367038101,0.0050905290864746,0.0
1993-07-08,0.0112750249723012,,0.0014850738839794,-0.0015268760339732,,8.509837820406646e-05,0.0112750249723012,0.0131583045761154,0.010853455258118,0.0018877641199326334
1993-07-09,0.0027875588202943,,0.0018204665717233,-0.0053247240862957,,8.453421368345857e-05,0.0027875588202943,-0.001771298547025,-0.0021469047958917,0.002828487871486818
1993-07-12,-0.0006949142936492,,0.0011100019472656,0.0007302878768342,,0.0002536026410503,-0.0006949142936492,0.0017744416128757,0.0007174828082405,0.0018791822170658445
1993-07-13,-0.0006957032717773,,-0.0015251468673157,-0.0024258038456449,,8.425215297839755e-05,-0.0006957032717773,-0.0023615081776755,-0.002867504043379,0.0009380454461240806
1993-07-14,0.0034795612870737,,0.0041695259062813,0.0049578269284806,,8.509837820406646e-05,0.0034795612870737,0.0035498233539847,0.0043128841987658,0.006560886009341127
1993-07-15,-0.0041607359518472,,0.0001457516199498,-0.0043213037316957,,8.425215297839755e-05,-0.0041607359518472,-0.0017680556841771,-0.0042943631079735,0.0
1993-07-16,-0.0027860001483356,,0.0008163862460087,-0.0017934900984054,,8.425215297839755e-05,-0.0027860001483356,-0.0047255619165685,-0.0043134401022073,0.0009308427029968147
1993-07-19,-0.0006973905344008,,0.0001014391761962,0.0071099804305283,,0.0002527564589351,-0.0006973905344008,0.0035606013405637,0.0050543956871542,0.0009310514133911152
1993-07-20,0.0027947348442893,,-0.0028661202526241,-0.0068498646791855,,8.481628875831466e-05,0.0027947348442893,0.0041398962058991,0.0021550467070805,-0.0018592973526175838
1993-07-21,-0.0006963918446479,,-0.0061868652299173,0.0007541520369768,,8.566260021264535e-05,-0.0006963918446479,0.0011777600136628,-0.0014341215612803,-0.006518121358115581
1993-07-22,-0.0069734469266583,,-0.0045043748181647,-0.0082933238378507,,8.594473277766929e-05,-0.0069734469266583,-0.0052943526621843,-0.0028709438365869,-0.0046859038694065935
1993-07-23,0.0049157153227572,,-0.0034971644694216,0.0055139029743435,,8.650904103468159e-05,0.0049157153227572,0.0053225320237739,0.0050390966850892,-0.005649688431555111
1993-07-26,0.0055900841523492,,0.002449574226509,0.001117136065591,,0.000259527123104,0.0055900841523492,0.0058824185998205,0.0028656356549303,0.0018936379350558141
1993-07-27,-0.0006949142936492,,0.0004840207643765,0.0015206301195024,,8.622687971798261e-05,-0.0006949142936492,-0.002339532907578,0.0007136100308975,0.0
1993-07-28,-0.0020863454742293,,0.0021470076850407,0.0020280368904614,,8.679121672886754e-05,-0.0020863454742293,0.0017588399297288,0.0007142050265167,0.0028352702112433015
