최종자산_명목,누적납입,누적세금,환전비용,XIRR_명목,평가액MDD,단위가치MDD,원금하회_최장거래일,원금대비_최대평가손실,목표25억_최초도달,리밸런싱매도_원화,리밸런싱실현이익_원화,TQQQ연말최대매수_원화,그때_TQQQ고점대비,TQQQ연말최대매수_일자,S1_청산일,S2_동결,key,시나리오,구간,창
4300237546.222391,1230000000.0,848807828.7352891,1230000.0,0.10054072766121021,-0.3610770227059361,-0.6899881325623716,1822,167053823.2637671,2015-07-17,1373293932.3102562,841420583.3825653,100045065.48790699,-0.9774556918274715,2019-01-02,해당 없음,해당 없음,P3,기본,2000-01~2019-12,fixed
15518315382.092451,1594500000.0,3741954383.3904543,1594500.0,0.13136089275800586,-0.3610770227059361,-0.6899881325623716,1822,167053823.2637671,2015-07-17,7901673790.411457,5852343311.6293125,902135271.9053345,-0.95921089100594,2023-01-03,해당 없음,해당 없음,P3,기본,2000-01~2026-09,fixed
1121787374.5098684,514500000.0,164683372.6822242,514500.0,0.1790418590575619,-0.2723106880316061,-0.292461641860876,51,35625714.01410182,미도달,264604902.99415445,159207014.39708763,21240112.359118905,-0.8082480024052343,2023-01-03,해당 없음,해당 없음,P3,기본,2020-01~2026-09,fixed
1586253468.143358,910500000.0,196768343.80020142,910500.0,0.06515970574913556,-0.3610770227059361,-0.6899881325623716,1822,167053823.2637671,미도달,647870449.9976699,244949517.75370577,62094519.3259249,-0.9995277776331998,2009-01-02,해당 없음,해당 없음,P3,기본,롤링14년 2000-01-03,14
1600435769.834909,906000000.0,201046519.51618662,906000.0,0.06650667973970605,-0.3654886510880617,-0.6899516034761841,1692,160727834.57136756,미도달,651953792.5730717,250691911.24150357,62492920.97742642,-0.9995277776331998,2009-01-02,해당 없음,해당 없음,P3,기본,롤링14년 2000-02-01,14
1645809582.151607,906000000.0,214925831.08909142,906000.0,0.0697001733907014,-0.3528021468115209,-0.679977925418254,1819,161744665.29815948,미도달,639400831.1744596,241695134.50707728,61263307.745118275,-0.9995277776331998,2009-01-02,해당 없음,해당 없음,P3,기본,롤링14년 2000-03-01,14
1639781385.194517,910500000.0,210942067.68228337,910500.0,0.0689372179011985,-0.35241724713622524,-0.66318349991208,1819,159864714.592296,미도달,632975153.5752608,245193920.59336066,60663899.57744377,-0.9993413209414616,2009-01-02,해당 없음,해당 없음,P3,기본,롤링14년 2000-04-03,14
1596211065.2798674,906000000.0,198619141.54555434,906000.0,0.06624832849677546,-0.35281480434163703,-0.641812425507898,1682,152656396.46693468,미도달,639322569.5913253,253201027.8901657,61283482.74967201,-0.9989545728988742,2009-01-02,해당 없음,해당 없음,P3,기본,롤링14년 2000-05-01,14
1633147737.685978,906000000.0,207761421.57187584,906000.0,0.0688401268069963,-0.35315248709672764,-0.6474441681357352,1658,147597453.4890575,미도달,640277649.9951094,259606554.45425093,61411236.60132513,-0.9989089281795746,2009-01-02,해당 없음,해당 없음,P3,기본,롤링14년 2000-06-01,14
1676365190.9353805,910500000.0,218912775.7273416,910500.0,0.07143056735878286,-0.3524037561325587,-0.643663245915927,1670,146454354.22054574,미도달,632583296.4533639,256063586.41997603,60643373.83058271,-0.9989089281795746,2009-01-02,해당 없음,해당 없음,P3,기본,롤링14년 2000-07-03,14
1684457885.4603395,906000000.0,221471101.98606545,906000.0,0.0722967704678148,-0.35260455466752516,-0.6476590243147495,1564,140604995.74809557,미도달,635465885.957137,261668015.18279263,60952351.23530501,-0.9988646121134095,2009-01-02,해당 없음,해당 없음,P3,기본,롤링14년 2000-08-01,14
1729939527.7052035,906000000.0,234517473.11125883,906000.0,0.07532035884967676,-0.3518031666476784,-0.6286107717868687,1668,141466073.1857463,미도달,623805433.1257052,256940568.63587683,59689439.25624778,-0.9988646121134095,2009-01-02,해당 없음,해당 없음,P3,기본,롤링14년 2000-09-01,14
1765091546.0415452,910500000.0,242108775.89177376,910500.0,0.07723201624842405,-0.3533604535674295,-0.6146497315620256,1521,134811270.09324765,미도달,627370710.7276121,263394912.0484807,60225452.02424701,-0.9979826185234753,2009-01-02,해당 없음,해당 없음,P3,기본,롤링14년 2000-10-02,14
1847341098.4963067,906000000.0,265659367.7507531,906000.0,0.0826076053275846,-0.3537189623081478,-0.615235250835625,1517,130821677.53119837,미도달,625322357.022511,267390221.3268489,60110153.84954047,-0.9974310077766838,2009-01-02,해당 없음,해당 없음,P3,기본,롤링14년 2000-11-01,14
1999817535.9161537,906000000.0,307093897.5844223,906000.0,0.09147468388183236,-0.3548171669962813,-0.6154388012592458,1488,124879128.74135956,미도달,623305971.8015182,275483075.83276844,60469832.369183846,-0.9958217432227864,2009-01-02,해당 없음,해당 없음,P3,기본,롤링14년 2000-12-01,14
1940149184.3642342,906000000.0,288111164.2713571,906000.0,0.08806043415300976,-0.35509691075627225,-0.6148181841932248,1446,118764856.74321923,미도달,618246926.8062751,287046316.19028115,60828801.25862682,-0.9931188712710975,2009-01-02,해당 없음,해당 없음,P3,기본,롤링14년 2001-01-02,14
1908253796.1122055,906000000.0,274617543.574159,906000.0,0.0862281492376232,-0.3536987274253456,-0.5735912663509102,1492,120265468.51058728,미도달,731771200.3169923,392118939.4047122,59404104.76714811,-0.9921379274077237,2009-01-02,해당 없음,해당 없음,P3,기본,롤링14년 2001-02-01,14
2047262091.2622468,906000000.0,311763868.95338756,906000.0,0.09406803093849518,-0.3577493455485954,-0.5376678029461712,652,107264897.26873714,미도달,752089721.5251493,410817294.36528885,61411346.81059019,-0.9803192959742859,2009-01-02,해당 없음,해당 없음,P3,기본,롤링14년 2001-03-01,14
2025685911.6945705,910500000.0,301005983.7213715,910500.0,0.09259244180669271,-0.36019257078433287,-0.5532025150626043,491,95605750.10386646,미도달,768381301.5361574,434099443.6499395,63010755.144505985,-0.9754252559601916,2009-01-02,해당 없음,해당 없음,P3,기본,롤링14년 2001-04-02,14
1968178210.9839177,906000000.0,288866887.109835,906000.0,0.0896781192725905,-0.35490534012161035,-0.5394080501249265,662,105432306.76083234,미도달,735885060.1320114,407054428.4316451,59713640.92053001,-0.9754252559601917,2009-01-02,해당 없음,해당 없음,P3,기본,롤링14년 2001-05-01,14
2070372959.2059467,906000000.0,316625701.2571119,906000.0,0.09532228943215582,-0.3558776970610533,-0.5089403906770745,643,98585281.79469222,미도달,741036840.532732,414775190.6449819,60278743.91675316,-0.9705445311684794,2009-01-02,해당 없음,해당 없음,P3,기본,롤링14년 2001-06-01,14
2048200545.8612113,910500000.0,308818287.81310445,910500.0,0.09382351488745579,-0.35517078888781395,-0.4861857516624366,625,95801630.29381089,미도달,737110565.09607,414380697.14064956,59859241.937622964,-0.9631890345678189,2009-01-02,해당 없음,해당 없음,P3,기본,롤링14년 2001-07-02,14
2157008379.728226,906000000.0,339790075.093439,906000.0,0.09978442741441948,-0.35574288397995446,-0.464778457429356,598,89916812.94912504,미도달,740425213.3962462,420590136.52212244,60190389.09039014,-0.9563445571227456,2009-01-02,해당 없음,해당 없음,P3,기본,롤링14년 2001-08-01,14
2083700871.614395,910500000.0,315599202.9324514,910500.0,0.09566156163437758,-0.35968223760658136,-0.45334308921445465,358,74700311.72570875,2015-07-17,768329687.6264043,444744473.70397794,62543463.99152693,-0.9398672905020786,2009-01-02,해당 없음,해당 없음,P3,기본,롤링14년 2001-09-04,14
2093398487.3578317,906000000.0,319182263.82843244,906000.0,0.09648230621125438,-0.3661175647794842,-0.4604986330411963,265,55175652.90241501,2015-07-15,809430487.6974155,478733790.39904726,65063468.889944635,-0.9398672905020785,2009-01-02,해당 없음,해당 없음,P3,기본,롤링14년 2001-10-01,14
2160428057.5627923,906000000.0,338883060.7448095,906000.0,0.09997252936292918,-0.35778627898060034,-0.4519373530916765,350,71165490.25040281,2015-08-17,752659355.3369042,437767979.7020962,61299536.94276011,-0.9398672905020787,2009-01-02,해당 없음,해당 없음,P3,기본,롤링14년 2001-11-01,14
