최종자산_명목,누적납입,누적세금,환전비용,XIRR_명목,평가액MDD,단위가치MDD,원금하회_최장거래일,원금대비_최대평가손실,목표25억_최초도달,리밸런싱매도_원화,리밸런싱실현이익_원화,TQQQ연말최대매수_원화,그때_TQQQ고점대비,S1_청산일,S2_동결,key,보유년,시작,종료,배분
1586253468.143358,910500000.0,196768343.80020142,910500.0,0.06515970574913556,-0.3610770227059361,-0.6899881325623716,1822,167053823.2637671,미도달,647870449.9976699,244949517.75370577,62094519.3259249,-0.9995277776331998,해당 없음,해당 없음,P3,14,2000-01-03,2014-01-02,M1
1600435769.834909,906000000.0,201046519.51618662,906000.0,0.06650667973970605,-0.3654886510880617,-0.6899516034761841,1692,160727834.57136756,미도달,651953792.5730717,250691911.24150357,62492920.97742642,-0.9995277776331998,해당 없음,해당 없음,P3,14,2000-02-01,2014-01-31,M1
1645809582.151607,906000000.0,214925831.08909142,906000.0,0.0697001733907014,-0.3528021468115209,-0.679977925418254,1819,161744665.29815948,미도달,639400831.1744596,241695134.50707728,61263307.745118275,-0.9995277776331998,해당 없음,해당 없음,P3,14,2000-03-01,2014-02-28,M1
1639781385.194517,910500000.0,210942067.68228337,910500.0,0.0689372179011985,-0.35241724713622524,-0.66318349991208,1819,159864714.592296,미도달,632975153.5752608,245193920.59336066,60663899.57744377,-0.9993413209414616,해당 없음,해당 없음,P3,14,2000-04-03,2014-04-02,M1
1596211065.2798674,906000000.0,198619141.54555434,906000.0,0.06624832849677546,-0.35281480434163703,-0.641812425507898,1682,152656396.46693468,미도달,639322569.5913253,253201027.8901657,61283482.74967201,-0.9989545728988742,해당 없음,해당 없음,P3,14,2000-05-01,2014-04-30,M1
1633147737.685978,906000000.0,207761421.57187584,906000.0,0.0688401268069963,-0.35315248709672764,-0.6474441681357352,1658,147597453.4890575,미도달,640277649.9951094,259606554.45425093,61411236.60132513,-0.9989089281795746,해당 없음,해당 없음,P3,14,2000-06-01,2014-05-30,M1
1676365190.9353805,910500000.0,218912775.7273416,910500.0,0.07143056735878286,-0.3524037561325587,-0.643663245915927,1670,146454354.22054574,미도달,632583296.4533639,256063586.41997603,60643373.83058271,-0.9989089281795746,해당 없음,해당 없음,P3,14,2000-07-03,2014-07-02,M1
1684457885.4603395,906000000.0,221471101.98606545,906000.0,0.0722967704678148,-0.35260455466752516,-0.6476590243147495,1564,140604995.74809557,미도달,635465885.957137,261668015.18279263,60952351.23530501,-0.9988646121134095,해당 없음,해당 없음,P3,14,2000-08-01,2014-07-31,M1
1729939527.7052035,906000000.0,234517473.11125883,906000.0,0.07532035884967676,-0.3518031666476784,-0.6286107717868687,1668,141466073.1857463,미도달,623805433.1257052,256940568.63587683,59689439.25624778,-0.9988646121134095,해당 없음,해당 없음,P3,14,2000-09-01,2014-08-29,M1
1765091546.0415452,910500000.0,242108775.89177376,910500.0,0.07723201624842405,-0.3533604535674295,-0.6146497315620256,1521,134811270.09324765,미도달,627370710.7276121,263394912.0484807,60225452.02424701,-0.9979826185234753,해당 없음,해당 없음,P3,14,2000-10-02,2014-10-01,M1
1847341098.4963067,906000000.0,265659367.7507531,906000.0,0.0826076053275846,-0.3537189623081478,-0.615235250835625,1517,130821677.53119837,미도달,625322357.022511,267390221.3268489,60110153.84954047,-0.9974310077766838,해당 없음,해당 없음,P3,14,2000-11-01,2014-10-31,M1
1999817535.9161537,906000000.0,307093897.5844223,906000.0,0.09147468388183236,-0.3548171669962813,-0.6154388012592458,1488,124879128.74135956,미도달,623305971.8015182,275483075.83276844,60469832.369183846,-0.9958217432227864,해당 없음,해당 없음,P3,14,2000-12-01,2014-11-28,M1
1940149184.3642342,906000000.0,288111164.2713571,906000.0,0.08806043415300976,-0.35509691075627225,-0.6148181841932248,1446,118764856.74321923,미도달,618246926.8062751,287046316.19028115,60828801.25862682,-0.9931188712710975,해당 없음,해당 없음,P3,14,2001-01-02,2014-12-31,M1
1908253796.1122055,906000000.0,274617543.574159,906000.0,0.0862281492376232,-0.3536987274253456,-0.5735912663509102,1492,120265468.51058728,미도달,731771200.3169923,392118939.4047122,59404104.76714811,-0.9921379274077237,해당 없음,해당 없음,P3,14,2001-02-01,2015-01-30,M1
2047262091.2622468,906000000.0,311763868.95338756,906000.0,0.09406803093849518,-0.3577493455485954,-0.5376678029461712,652,107264897.26873714,미도달,752089721.5251493,410817294.36528885,61411346.81059019,-0.9803192959742859,해당 없음,해당 없음,P3,14,2001-03-01,2015-02-27,M1
2025685911.6945705,910500000.0,301005983.7213715,910500.0,0.09259244180669271,-0.36019257078433287,-0.5532025150626043,491,95605750.10386646,미도달,768381301.5361574,434099443.6499395,63010755.144505985,-0.9754252559601916,해당 없음,해당 없음,P3,14,2001-04-02,2015-04-01,M1
