G,key,구분,최종자산_명목,XIRR_명목,원금하회_최장거래일,하위10,최소,P_25억이상,P_15억이상,순위_최종자산
G1,B1,고정구간 2020-01~2026-09,1044190787.110047,0.16245605104101965,38.0,,,,,3.0
G1,SPY,고정구간 2000-01~2019-12,3040895637.820574,0.07424835679787334,1348.0,,,,,6.0
G1,SPY,고정구간 2000-01~2026-09,9005897503.067122,0.10243628577059358,1348.0,,,,,6.0
G1,SPY,고정구간 2020-01~2026-09,971615196.6058024,0.1458354149926937,62.0,,,,,6.0
G1,QQQ,고정구간 2000-01~2019-12,4305885894.924622,0.10063893755156568,1927.0,,,,,1.0
G1,QQQ,고정구간 2000-01~2026-09,16960548052.062326,0.13602508575870495,1927.0,,,,,1.0
G1,QQQ,고정구간 2020-01~2026-09,1153757845.5690684,0.1855583414711218,27.0,,,,,1.0
G2,B-opt,고정구간 2000-01~2019-12,3354673139.760069,0.08178065408492258,1586.0,,,,,5.0
G2,B-opt,고정구간 2000-01~2026-09,10705186229.704025,0.11170478588767581,1586.0,,,,,5.0
G2,B-opt,고정구간 2020-01~2026-09,1012094783.6003442,0.15524746406724926,56.0,,,,,5.0
G2,B1,고정구간 2000-01~2019-12,3586792565.910372,0.08687316928762856,1762.0,,,,,3.0
G2,B1,고정구간 2000-01~2026-09,12095554696.170935,0.11820340555075817,1762.0,,,,,3.0
G2,B1,고정구간 2020-01~2026-09,1044190787.110047,0.16245605104101965,38.0,,,,,3.0
G2,SPY,고정구간 2000-01~2019-12,3040895637.820574,0.07424835679787334,1348.0,,,,,6.0
G2,SPY,고정구간 2000-01~2026-09,9005897503.067122,0.10243628577059358,1348.0,,,,,6.0
G2,SPY,고정구간 2020-01~2026-09,971615196.6058024,0.1458354149926937,62.0,,,,,6.0
G2,QQQ,고정구간 2000-01~2019-12,4305885894.924622,0.10063893755156568,1927.0,,,,,1.0
G2,QQQ,고정구간 2000-01~2026-09,16960548052.062326,0.13602508575870495,1927.0,,,,,1.0
G2,QQQ,고정구간 2020-01~2026-09,1153757845.5690684,0.1855583414711218,27.0,,,,,1.0
G3,B-opt,고정구간 2000-01~2019-12,3354673139.760069,0.08178065408492258,1586.0,,,,,5.0
G3,B-opt,고정구간 2000-01~2026-09,10705186229.704025,0.11170478588767581,1586.0,,,,,5.0
G3,B-opt,고정구간 2020-01~2026-09,1012094783.6003442,0.15524746406724926,56.0,,,,,5.0
G3,B1,고정구간 2000-01~2019-12,3586792565.910372,0.08687316928762856,1762.0,,,,,4.0
G3,B1,고정구간 2000-01~2026-09,12095554696.170935,0.11820340555075817,1762.0,,,,,3.0
G3,B1,고정구간 2020-01~2026-09,1044190787.110047,0.16245605104101965,38.0,,,,,3.0
G3,SPY,고정구간 2000-01~2019-12,3040895637.820574,0.07424835679787334,1348.0,,,,,6.0
G3,SPY,고정구간 2000-01~2026-09,9005897503.067122,0.10243628577059358,1348.0,,,,,6.0
G3,SPY,고정구간 2020-01~2026-09,971615196.6058024,0.1458354149926937,62.0,,,,,6.0
G3,QQQ,고정구간 2000-01~2019-12,4305885894.924622,0.10063893755156568,1927.0,,,,,1.0
G3,QQQ,고정구간 2000-01~2026-09,16960548052.062326,0.13602508575870495,1927.0,,,,,1.0
G3,QQQ,고정구간 2020-01~2026-09,1153757845.5690684,0.1855583414711218,27.0,,,,,1.0
G0,A80,롤링19년(93개),5232879744.577102,0.12452290458654072,,3445283365.1121917,2765546394.875894,100.0,,4.0
G0,B-opt,롤링19년(93개),4684087846.16515,0.11588444462802137,,3059745885.708755,2488190096.467584,98.9247311827957,,5.0
G0,B1,롤링19년(93개),5299608687.863796,0.12550769496685987,,3267726278.096162,2635115197.5075293,100.0,,3.0
G0,C100,롤링19년(93개),3482752741.0983615,0.09244338990006677,,2678859546.5328,2263585645.474608,95.6989247311828,,7.0
G0,P3,롤링19년(93개),6358626570.910405,0.1396028750105854,,3846451739.833425,3028872922.0170302,100.0,,2.0
G0,QQQ,롤링19년(93개),7251333637.114582,0.1496886861776486,,3923704752.0168967,3056165763.8694,100.0,,1.0
G0,SPY,롤링19년(93개),3890211512.5776844,0.10129024126340498,,2768883313.707191,2281072536.090839,96.7741935483871,,6.0
G1,A80,롤링19년(93개),4937514049.249705,0.11999925435334267,,3256877985.2798057,2619245226.396135,100.0,,4.0
G1,B-opt,롤링19년(93개),4684087846.16515,0.11588444462802137,,3059745885.708755,2488190096.467584,98.9247311827957,,5.0
G1,B1,롤링19년(93개),5299608687.863796,0.12550769496685987,,3267726278.096162,2635115197.5075293,100.0,,3.0
G1,C100,롤링19년(93개),3249454258.5989227,0.08692454022461706,,2500336770.623284,2116723972.5843503,89.24731182795699,,7.0
G1,P3,롤링19년(93개),6038315418.488636,0.13561514506266575,,3659325122.933204,2885978705.374232,100.0,,2.0
G1,QQQ,롤링19년(93개),7251333637.114582,0.1496886861776486,,3923704752.0168967,3056165763.8694,100.0,,1.0
G1,SPY,롤링19년(93개),3890211512.5776844,0.10129024126340498,,2768883313.707191,2281072536.090839,96.7741935483871,,6.0
G2,A80,롤링19년(93개),4891107146.773926,0.11926267998299202,,3230346946.5983415,2598611453.7817707,100.0,,4.0
G2,B-opt,롤링19년(93개),4684087846.16515,0.11588444462802137,,3059745885.708755,2488190096.467584,98.9247311827957,,5.0
G2,B1,롤링19년(93개),5299608687.863796,0.12550769496685987,,3267726278.096162,2635115197.5075293,100.0,,3.0
G2,C100,롤링19년(93개),3215429420.1764517,0.08607922308260758,,2474812071.732255,2095638712.1873958,86.02150537634408,,7.0
G2,P3,롤링19년(93개),5989153352.917351,0.1349836605881331,,3632757863.282728,2865705220.04246,100.0,,2.0
G2,QQQ,롤링19년(93개),7251333637.114582,0.1496886861776486,,3923704752.0168967,3056165763.8694,100.0,,1.0
G2,SPY,롤링19년(93개),3890211512.5776844,0.10129024126340498,,2768883313.707191,2281072536.090839,96.7741935483871,,6.0
G3,A80,롤링19년(93개),5002516893.963526,0.12101880706892594,,3297481555.717764,2650822314.3830466,100.0,,4.0
G3,B-opt,롤링19년(93개),4684087846.16515,0.11588444462802137,,3059745885.708755,2488190096.467584,98.9247311827957,,5.0
G3,B1,롤링19년(93개),5299608687.863796,0.12550769496685987,,3267726278.096162,2635115197.5075293,100.0,,3.0
G3,C100,롤링19년(93개),3300727721.8893833,0.08818039303974089,,2539059743.544388,2148705437.138144,92.47311827956989,,7.0
G3,P3,롤링19년(93개),6107947308.133331,0.13650045751728,,3709941611.556139,2917163922.855959,100.0,,2.0
G3,QQQ,롤링19년(93개),7251333637.114582,0.1496886861776486,,3923704752.0168967,3056165763.8694,100.0,,1.0
G3,SPY,롤링19년(93개),3890211512.5776844,0.10129024126340498,,2768883313.707191,2281072536.090839,96.7741935483871,,6.0
G0,P3,부트스트랩19년(1000회),3885510099.8355575,,,2009524022.9697688,,81.0,96.3,1.0
G0,A80,부트스트랩19년(1000회),3610874778.3480954,,,2067194693.6047153,,79.9,97.3,2.0
G0,C100,부트스트랩19년(1000회),2998951367.496272,,,2064819131.9071152,,73.1,98.6,7.0
G0,B-opt,부트스트랩19년(1000회),3174515954.6976595,,,1808080592.1334796,,70.8,95.19999999999999,5.0
G0,B1,부트스트랩19년(1000회),3256514764.708121,,,1743400159.5173144,,71.2,94.19999999999999,4.0
G0,SPY,부트스트랩19년(1000회),3043475131.225793,,,1892925139.2024424,,68.4,96.6,6.0
G0,QQQ,부트스트랩19년(1000회),3513988600.6450233,,,1482200055.8724773,,69.3,89.2,3.0
G1,B-opt,부트스트랩19년(1000회),3174515954.6976595,,,1808080592.1334796,,70.8,95.19999999999999,5.0
G1,B1,부트스트랩19년(1000회),3256514764.708121,,,1743400159.5173144,,71.2,94.19999999999999,4.0
G1,SPY,부트스트랩19년(1000회),3043475131.225793,,,1892925139.2024424,,68.4,96.6,6.0
G1,QQQ,부트스트랩19년(1000회),3513988600.6450233,,,1482200055.8724773,,69.3,89.2,2.0
G2,B-opt,부트스트랩19년(1000회),3174515954.6976595,,,1808080592.1334796,,70.8,95.19999999999999,5.0
G2,B1,부트스트랩19년(1000회),3256514764.708121,,,1743400159.5173144,,71.2,94.19999999999999,4.0
G2,SPY,부트스트랩19년(1000회),3043475131.225793,,,1892925139.2024424,,68.4,96.6,6.0
G2,QQQ,부트스트랩19년(1000회),3513988600.6450233,,,1482200055.8724773,,69.3,89.2,2.0
G3,B-opt,부트스트랩19년(1000회),3174515954.6976595,,,1808080592.1334796,,70.8,95.19999999999999,5.0
G3,B1,부트스트랩19년(1000회),3256514764.708121,,,1743400159.5173144,,71.2,94.19999999999999,4.0
G3,SPY,부트스트랩19년(1000회),3043475131.225793,,,1892925139.2024424,,68.4,96.6,6.0
G3,QQQ,부트스트랩19년(1000회),3513988600.6450233,,,1482200055.8724773,,69.3,89.2,2.0
G1,P3,부트스트랩19년(1000회),3681107726.118324,,,1900477848.2856886,,77.4,96.0,1.0
G1,A80,부트스트랩19년(1000회),3375891130.235463,,,1947641083.7023456,,75.1,96.2,3.0
G1,C100,부트스트랩19년(1000회),2767255951.914506,,,1922368095.254433,,62.9,97.6,7.0
G2,P3,부트스트랩19년(1000회),3650394429.764702,,,1884816724.1350913,,76.8,95.8,1.0
G2,A80,부트스트랩19년(1000회),3340082098.028105,,,1930544768.331531,,74.6,96.1,3.0
G2,C100,부트스트랩19년(1000회),2734280088.6381235,,,1899901271.0116103,,61.1,97.6,7.0
G3,P3,부트스트랩19년(1000회),3725617303.664298,,,1923714108.8378563,,78.10000000000001,96.1,1.0
G3,A80,부트스트랩19년(1000회),3428572704.222166,,,1973731650.4950206,,76.0,96.6,3.0
G3,C100,부트스트랩19년(1000회),2815782583.386868,,,1956370816.1990902,,64.4,97.8,7.0
