date,close,adjclose,volume
2007-05-30,25.145000457763672,13.899898529052734,200
2007-05-31,25.145000457763672,13.899898529052734,0
2007-06-01,24.954999923706055,13.794868469238281,400
2007-06-04,24.954999923706055,13.794868469238281,0
2007-06-05,24.954999923706055,13.794868469238281,0
2007-06-06,24.954999923706055,13.794868469238281,5200
2007-06-07,24.954999923706055,13.794868469238281,0
2007-06-08,24.954999923706055,13.794868469238281,0
2007-06-11,24.5,13.543346405029297,16400
2007-06-12,24.5,13.543346405029297,0
2007-06-13,24.3700008392334,13.471487998962402,400
2007-06-14,24.3700008392334,13.471487998962402,0
2007-06-15,24.485000610351562,13.535063743591309,600
2007-06-18,24.485000610351562,13.535063743591309,0
2007-06-19,24.485000610351562,13.535063743591309,0
2007-06-20,24.485000610351562,13.535063743591309,0
2007-06-21,24.485000610351562,13.535063743591309,0
2007-06-22,24.485000610351562,13.535063743591309,0
2007-06-25,24.485000610351562,13.535063743591309,0
2007-06-26,24.485000610351562,13.535063743591309,0
2007-06-27,24.485000610351562,13.535063743591309,0
2007-06-28,24.485000610351562,13.535063743591309,0
2007-06-29,24.739999771118164,13.676012992858887,20000
2007-07-02,24.739999771118164,13.737098693847656,0
2007-07-03,24.774999618530273,13.7565336227417,200
2007-07-05,24.53499984741211,13.623276710510254,260400
2007-07-06,24.53499984741211,13.623276710510254,0
2007-07-09,24.459999084472656,13.581631660461426,3000
2007-07-10,24.68000030517578,13.703782081604004,400
2007-07-11,24.614999771118164,13.667696952819824,1800
2007-07-12,24.5049991607666,13.60661506652832,2400
2007-07-13,24.594999313354492,13.656595230102539,2600
2007-07-16,24.594999313354492,13.656595230102539,0
2007-07-17,24.649999618530273,13.687115669250488,600
2007-07-18,24.834999084472656,13.78985595703125,2200
2007-07-19,24.760000228881836,13.748207092285156,12800
2007-07-20,24.989999771118164,13.875908851623535,5000
2007-07-23,24.979999542236328,13.870360374450684,400
2007-07-24,24.985000610351562,13.873133659362793,5200
2007-07-25,25.079999923706055,13.925884246826172,2800
2007-07-26,25.30500030517578,14.05081844329834,1000
2007-07-27,25.350000381469727,14.075814247131348,800
2007-07-30,25.290000915527344,14.042496681213379,1600
2007-07-31,25.385000228881836,14.095230102539062,1800
2007-08-01,25.30500030517578,14.108344078063965,1600
2007-08-02,25.260000228881836,14.083252906799316,1800
2007-08-03,25.360000610351562,14.138998031616211,1000
2007-08-06,25.375,14.14736557006836,200
2007-08-07,25.375,14.14736557006836,0
2007-08-08,25.239999771118164,14.072098731994629,8000
2007-08-09,25.239999771118164,14.072098731994629,0
2007-08-10,25.209999084472656,14.055378913879395,1600
2007-08-13,25.139999389648438,14.016356468200684,3200
2007-08-14,25.2450008392334,14.074888229370117,400
2007-08-15,25.190000534057617,14.044225692749023,800
2007-08-16,25.405000686645508,14.164091110229492,27000
2007-08-17,25.280000686645508,14.094406127929688,600
2007-08-20,25.280000686645508,14.094406127929688,800
2007-08-21,25.360000610351562,14.138998031616211,1000
2007-08-22,25.280000686645508,14.094406127929688,18200
2007-08-23,25.375,14.14736557006836,1600
2007-08-24,25.53499984741211,14.236578941345215,2200
2007-08-27,25.625,14.286752700805664,400
2007-08-28,25.709999084472656,14.334136962890625,200
2007-08-29,25.655000686645508,14.30348014831543,2200
2007-08-30,25.770000457763672,14.367600440979004,1400
2007-08-31,26.010000228881836,14.501397132873535,6800
