date,close,adjclose,volume
2004-11-18,44.380001068115234,44.380001068115234,5992000
2004-11-19,44.779998779296875,44.779998779296875,11655300
2004-11-22,44.95000076293945,44.95000076293945,11996000
2004-11-23,44.75,44.75,3169200
2004-11-24,45.04999923706055,45.04999923706055,6105100
2004-11-26,45.290000915527344,45.290000915527344,3097700
2004-11-29,45.400001525878906,45.400001525878906,3759000
2004-11-30,45.119998931884766,45.119998931884766,3857200
2004-12-01,45.380001068115234,45.380001068115234,2037500
2004-12-02,44.95000076293945,44.95000076293945,6457800
2004-12-03,45.599998474121094,45.599998474121094,4218300
2004-12-06,45.16999816894531,45.16999816894531,3102400
2004-12-07,45.11000061035156,45.11000061035156,3797300
2004-12-08,44.0099983215332,44.0099983215332,6148600
2004-12-09,43.779998779296875,43.779998779296875,3553400
2004-12-10,43.439998626708984,43.439998626708984,2464300
2004-12-13,43.90999984741211,43.90999984741211,1445100
2004-12-14,43.54999923706055,43.54999923706055,2240600
2004-12-15,43.9900016784668,43.9900016784668,2641400
2004-12-16,43.68000030517578,43.68000030517578,3269800
2004-12-17,44.189998626708984,44.189998626708984,1889300
2004-12-20,44.34000015258789,44.34000015258789,1942100
2004-12-21,44.220001220703125,44.220001220703125,1373400
2004-12-22,44.02000045776367,44.02000045776367,2705800
2004-12-23,44.27000045776367,44.27000045776367,639800
2004-12-27,44.47999954223633,44.47999954223633,2643500
2004-12-28,44.369998931884766,44.369998931884766,773200
2004-12-29,43.65999984741211,43.65999984741211,5632200
2004-12-30,43.83000183105469,43.83000183105469,1289600
2004-12-31,43.79999923706055,43.79999923706055,531600
2005-01-03,43.02000045776367,43.02000045776367,4750400
2005-01-04,42.7400016784668,42.7400016784668,3456800
2005-01-05,42.66999816894531,42.66999816894531,2033600
2005-01-06,42.150001525878906,42.150001525878906,2556400
2005-01-07,41.84000015258789,41.84000015258789,4492700
2005-01-10,41.95000076293945,41.95000076293945,1025800
2005-01-11,42.209999084472656,42.209999084472656,1507300
2005-01-12,42.599998474121094,42.599998474121094,1738000
2005-01-13,42.599998474121094,42.599998474121094,718300
2005-01-14,42.31999969482422,42.31999969482422,1262300
2005-01-18,42.31999969482422,42.31999969482422,666800
2005-01-19,42.2599983215332,42.2599983215332,1578900
2005-01-20,42.25,42.25,1276200
2005-01-21,42.7400016784668,42.7400016784668,889800
2005-01-24,42.77000045776367,42.77000045776367,2294900
2005-01-25,42.2400016784668,42.2400016784668,1332500
2005-01-26,42.689998626708984,42.689998626708984,541800
2005-01-27,42.619998931884766,42.619998931884766,571200
2005-01-28,42.689998626708984,42.689998626708984,1149100
2005-01-31,42.220001220703125,42.220001220703125,1692400
2005-02-01,42.099998474121094,42.099998474121094,1088900
2005-02-02,42.15999984741211,42.15999984741211,956500
2005-02-03,41.68000030517578,41.68000030517578,2446400
2005-02-04,41.470001220703125,41.470001220703125,1819400
2005-02-07,41.27000045776367,41.27000045776367,1754000
2005-02-08,41.2599983215332,41.2599983215332,1296800
2005-02-09,41.310001373291016,41.310001373291016,3477900
2005-02-10,41.75,41.75,7774500
2005-02-11,42.08000183105469,42.08000183105469,1896500
2005-02-14,42.54999923706055,42.54999923706055,2351800
2005-02-15,42.58000183105469,42.58000183105469,1559900
2005-02-16,42.52000045776367,42.52000045776367,1820400
2005-02-17,42.72999954223633,42.72999954223633,3054200
2005-02-18,42.75,42.75,863200
2005-02-22,43.56999969482422,43.56999969482422,3378400
2005-02-23,43.41999816894531,43.41999816894531,1534900
2005-02-24,43.33000183105469,43.33000183105469,1219300
2005-02-25,43.5,43.5,1100100
2005-02-28,43.529998779296875,43.529998779296875,755300
2005-03-01,43.220001220703125,43.220001220703125,3245600
2005-03-02,43.25,43.25,1188000
2005-03-03,42.970001220703125,42.970001220703125,1924600
2005-03-04,43.380001068115234,43.380001068115234,915000
2005-03-07,43.470001220703125,43.470001220703125,1290100
2005-03-08,44.029998779296875,44.029998779296875,2674900
2005-03-09,44.02000045776367,44.02000045776367,3025000
2005-03-10,44.20000076293945,44.20000076293945,2065000
2005-03-11,44.43000030517578,44.43000030517578,2659600
2005-03-14,44.029998779296875,44.029998779296875,866600
2005-03-15,44.060001373291016,44.060001373291016,1254900
2005-03-16,44.310001373291016,44.310001373291016,2223300
2005-03-17,43.81999969482422,43.81999969482422,1525200
2005-03-18,43.88999938964844,43.88999938964844,1207500
2005-03-21,43.09000015258789,43.09000015258789,3814400
2005-03-22,42.650001525878906,42.650001525878906,2609400
2005-03-23,42.41999816894531,42.41999816894531,2618600
2005-03-24,42.38999938964844,42.38999938964844,1466300
2005-03-28,42.540000915527344,42.540000915527344,581100
2005-03-29,42.560001373291016,42.560001373291016,1197800
2005-03-30,42.61000061035156,42.61000061035156,1324300
2005-03-31,42.81999969482422,42.81999969482422,1363200
2005-04-01,42.619998931884766,42.619998931884766,2448500
2005-04-04,42.400001525878906,42.400001525878906,1893100
